team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Lafayette,Patriot,282,285,-17.20,0,1,0,0,0,3,11,15
Lamar,Southland,179,138,-8.03,0,0,0,2,0,2,19,6
Le Moyne,NEC,352,306,-18.23,0,2,0,1,0,2,11,16
Lehigh,Patriot,191,192,-10.74,0,1,0,1,3,1,14,10
Liberty,CUSA,144,158,-9.22,0,2,1,1,1,3,14,7
Lindenwood,OVC,94,94,-4.53,0,2,0,0,4,3,19,3
Lipscomb,ASUN,260,301,-17.90,0,0,0,2,0,3,8,15
Little Rock,OVC,236,221,-12.81,0,1,0,1,0,6,13,8
LIU,NEC,274,162,-9.31,0,0,0,1,0,0,19,9
Long Beach St.,Big West,326,345,-21.89,0,1,0,2,0,4,4,18
Longwood,Big South,226,135,-7.81,0,2,0,0,0,2,18,6
Louisiana,Sun Belt,319,341,-21.58,0,2,0,1,0,3,4,19
Louisiana Monroe,Sun Belt,155,201,-11.53,0,2,0,4,1,3,15,7
Louisville,ACC,11,11,7.80,8,6,6,1,1,0,12,0
Loyola Chicago,Atlantic 10,198,219,-12.62,0,2,0,3,0,3,14,9
Loyola Marymount,WCC,111,115,-6.64,0,0,0,1,5,2,15,6
Loyola MD,Patriot,275,262,-15.47,0,2,0,0,0,2,12,14
LSU,SEC,5,9,8.82,8,5,4,0,3,0,12,0
Maine,America East,146,155,-9.03,0,1,1,2,2,4,16,6
Manhattan,MAAC,288,277,-16.59,0,1,0,3,0,5,11,11
Marist,MAAC,302,283,-17.15,0,1,0,2,0,3,11,14
Marquette,Big East,66,90,-4.37,0,5,1,2,3,3,13,2
Marshall,Sun Belt,102,97,-4.87,0,2,1,2,2,2,18,3
Maryland,Big Ten,14,17,5.41,6,8,2,0,3,0,12,0
Maryland Eastern Shore,MEAC,254,194,-10.88,0,2,0,1,0,1,17,10
Massachusetts,MAC,98,93,-4.49,0,0,0,3,3,1,20,3
McNeese St,Southland,89,60,-2.15,0,2,0,1,0,0,26,2
Memphis,American,216,294,-17.54,0,1,0,1,0,8,9,11
Mercer,SoCon,267,204,-11.75,0,0,0,2,0,1,15,10
Mercyhurst,NEC,329,214,-12.43,0,4,0,0,0,0,15,12
Merrimack,MAAC,230,172,-9.82,0,0,0,3,0,2,18,7
Miami (FL),ACC,57,62,-2.27,1,9,3,4,2,1,11,0
Miami (OH),MAC,75,74,-3.04,0,0,1,2,3,1,22,3
Michigan,Big Ten,6,6,10.13,9,6,4,0,4,0,8,0
Michigan St.,Big Ten,17,16,5.52,5,7,5,0,1,1,11,0
Middle Tennessee,CUSA,162,205,-11.82,0,1,0,3,0,3,16,8
