canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,conference,her_hoop_stats,espn,ncaa,college_sports_madness,the_ix,cbssports,usatoday,the_athletic
jacksonville,Jacksonville,,,7,15.429,ASun,15,15,15,15,16,16,16,
fdu,FDU,,,8,15.5,NEC,16,16,16,15,15,15,15,16
high-point,High Point,,,8,15.5,BSth,16,16,14,16,15,16,16,15
holy-cross,Holy Cross,,,2,15.5,Pat,,15,,16,,,,
ca-baptist,CA Baptist,,,7,15.714,WAC,,15,16,16,15,16,16,16
alabama-a-and-m,Alabama A&M,,,8,16,SWAC,16,16,16,16,16,16,16,16
howard,Howard,,,8,16,MEAC,16,16,16,16,16,16,16,16
samford,Samford,,,7,16,SC,16,16,16,16,16,16,16,
army-west-point,Army West Point,,,1,16,Pat,16,,,,,,,
chattanooga,Chattanooga,,,1,16,SC,,,,,,,,16
e-kentucky,Eastern Kentucky,,,1,16,ASun,,,,,,,,16
sf-austin,SF Austin,,,1,16,,,16,,,,,,
florida,Florida,,,0,99.0,SEC,,,,,,,FFO,
indiana,Indiana,,,0,99.0,B10,,NFO,,,NFO,NFO,,
kansas,Kansas,,,0,99.0,B12,,,,,,NFO,,
kansas-state,Kansas State,,,0,99.0,B12,,NFO,,,NFO,,NFO,
texas-a-and-m,Texas A&M,,,0,99.0,SEC,,FFO,,,NFO,FFO,NFO,
