team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Gardner Webb,Big South,328,295,-17.73,0,1,0,0,0,1,12,17
George Mason,Atlantic 10,60,59,-2.12,1,3,3,3,2,1,17,2
George Washington,Atlantic 10,172,224,-12.98,0,0,1,5,0,3,13,9
Georgetown,Big East,95,160,-8.88,0,5,1,3,3,3,10,6
Georgia,SEC,34,25,3.12,3,8,2,1,6,0,11,0
Georgia Southern,Sun Belt,75,66,-2.56,0,2,2,2,1,2,19,1
Georgia St.,Sun Belt,233,280,-16.75,0,2,1,3,0,3,7,13
Georgia Tech,ACC,74,109,-6.00,1,9,2,6,2,2,9,1
Gonzaga,WCC,62,88,-4.17,0,0,1,5,5,4,18,0
Grambling St.,SWAC,304,281,-16.95,0,1,0,1,0,3,10,14
Grand Canyon,Mountain West,135,233,-13.76,0,2,0,4,3,4,10,9
Green Bay,Horizon,97,87,-4.16,0,2,1,2,0,1,23,3
Hampton,CAA,311,322,-20.01,0,0,0,0,0,2,7,19
Harvard,Ivy League,65,96,-4.73,0,3,1,2,2,3,14,2
Hawaii,Big West,115,137,-8.02,0,0,0,1,1,4,18,5
High Point,Big South,144,86,-4.04,0,0,0,1,2,0,23,4
Hofstra,CAA,277,296,-17.74,0,2,0,1,0,2,8,16
Holy Cross,Patriot,148,112,-6.13,0,1,0,2,2,1,20,5
Houston,Big 12,176,218,-12.59,0,6,0,8,0,6,7,3
Houston Christian,Southland,312,309,-18.38,0,1,0,2,0,2,6,16
Howard,MEAC,156,90,-4.29,0,2,1,1,1,1,22,3
Idaho,Big Sky,99,72,-2.96,0,0,0,2,2,0,25,3
Idaho St.,Big Sky,132,152,-8.68,0,0,0,2,2,1,16,8
Illinois,Big Ten,30,30,2.44,3,10,2,0,5,1,11,0
Illinois Chicago,MVC,203,265,-15.53,0,0,1,1,0,4,13,13
Illinois St.,MVC,153,151,-8.67,0,2,0,1,0,3,19,6
Incarnate Word,Southland,274,231,-13.69,0,2,0,1,0,3,11,11
Indiana,Big Ten,55,47,-0.02,2,12,1,2,3,0,12,0
Indiana St.,MVC,297,312,-18.53,0,1,0,0,0,3,9,17
Iona,MAAC,271,185,-10.28,0,0,0,2,1,3,18,7
Iowa,Big Ten,10,5,10.98,9,6,7,0,3,0,7,0
Iowa St.,Big 12,33,40,0.87,2,3,6,5,1,1,13,0
IU Indy,Horizon,255,255,-15.05,0,0,0,0,0,4,12,13
Jackson St.,SWAC,315,266,-15.71,0,3,0,1,0,2,11,13
Jacksonville,ASUN,137,92,-4.47,0,2,1,1,0,1,21,4
Jacksonville St.,CUSA,219,237,-14.00,0,1,0,1,0,2,13,12
James Madison,Sun Belt,45,64,-2.31,0,2,1,2,6,3,19,1
Kansas,Big 12,50,57,-1.82,1,7,3,4,4,1,10,1
Kansas State,Big 12,54,74,-3.01,4,6,3,5,3,5,8,1
Kennesaw St.,CUSA,249,245,-14.55,0,1,0,2,0,2,10,12
Kent St.,MAC,166,199,-11.31,0,3,0,1,0,7,13,5
Kentucky,SEC,16,19,4.95,5,9,2,1,8,0,8,0
La Salle,Atlantic 10,164,155,-8.78,0,1,1,4,0,3,16,5
La. Tech,CUSA,77,60,-2.13,0,2,0,0,1,1,22,2
Lafayette,Patriot,282,287,-17.21,0,1,0,0,0,3,11,15
Lamar,Southland,179,138,-8.04,0,0,0,2,0,2,19,6
Le Moyne,NEC,352,305,-18.24,0,2,0,1,0,2,11,16
Lehigh,Patriot,191,193,-10.76,0,1,0,1,3,1,14,10
Liberty,CUSA,141,145,-8.47,0,2,1,1,1,2,14,7
Lindenwood,OVC,94,94,-4.57,0,2,0,0,4,3,19,3
Lipscomb,ASUN,260,301,-17.90,0,0,0,2,0,3,8,15
Little Rock,OVC,237,221,-12.83,0,1,0,1,0,6,13,8
LIU,NEC,272,163,-9.32,0,0,0,1,0,0,19,9
Long Beach St.,Big West,327,345,-21.92,0,1,0,2,0,4,4,18
Longwood,Big South,225,133,-7.81,0,2,0,0,0,2,18,6
Louisiana,Sun Belt,318,341,-21.59,0,2,0,1,0,3,4,19
Louisiana Monroe,Sun Belt,154,202,-11.55,0,2,0,4,1,3,15,7
Louisville,ACC,11,11,7.81,8,6,6,1,1,0,12,0
Loyola Chicago,Atlantic 10,198,219,-12.64,0,2,0,3,0,3,14,9
Loyola Marymount,WCC,111,116,-6.67,0,0,0,1,5,2,15,6
Loyola MD,Patriot,273,263,-15.49,0,2,0,0,0,2,12,14
LSU,SEC,5,9,8.81,8,5,4,0,3,0,12,0
Maine,America East,142,142,-8.35,0,1,1,2,2,3,16,6
Manhattan,MAAC,288,279,-16.59,0,1,0,3,0,5,11,11
Marist,MAAC,302,286,-17.18,0,1,0,2,0,3,11,14
Marquette,Big East,67,91,-4.39,0,5,1,2,4,3,12,2
Marshall,Sun Belt,102,97,-4.88,0,2,1,2,2,2,18,3
Maryland,Big Ten,14,17,5.39,6,7,2,1,3,0,12,0
Maryland Eastern Shore,MEAC,252,177,-9.92,0,2,0,1,0,1,17,9
Massachusetts,MAC,98,93,-4.53,0,0,0,3,3,1,20,3
McNeese St,Southland,88,61,-2.14,0,2,0,1,1,0,25,2
Memphis,American,218,294,-17.54,0,1,0,1,0,8,9,11
Mercer,SoCon,265,205,-11.76,0,0,0,2,0,1,15,10
Mercyhurst,NEC,329,214,-12.44,0,4,0,0,0,0,15,12
Merrimack,MAAC,230,174,-9.82,0,0,0,3,0,2,18,7
Miami (FL),ACC,57,63,-2.28,1,10,3,3,2,1,11,0
Miami (OH),MAC,78,75,-3.08,0,0,1,2,3,1,20,3
Michigan,Big Ten,6,6,10.10,9,6,4,0,4,0,8,0
Michigan St.,Big Ten,17,16,5.50,5,7,5,0,1,1,11,0
Middle Tennessee,CUSA,162,206,-11.82,0,1,0,3,0,3,16,8
Milwaukee,Horizon,309,349,-22.28,0,0,0,0,0,3,6,21
Minnesota,Big Ten,9,18,5.08,5,7,2,1,6,0,9,0
Mississippi St.,SEC,43,53,-0.88,2,9,1,3,3,1,12,0
Mississippi Valley St.,SWAC,353,319,-19.88,0,3,0,1,0,1,8,18
Missouri,SEC,83,76,-3.08,1,9,1,5,2,2,12,0
Missouri St.,CUSA,120,169,-9.61,0,0,0,2,1,2,19,8
Monmouth,CAA,199,144,-8.41,0,1,0,0,0,0,17,9
Montana,Big Sky,269,292,-17.44,0,2,0,2,0,6,8,12
Montana St.,Big Sky,69,77,-3.19,0,1,1,2,1,3,21,1
Morehead St.,OVC,194,173,-9.77,0,3,0,0,2,2,15,9
Morgan St.,MEAC,351,337,-21.14,0,3,0,2,0,0,4,20
Mount St. Mary's,MAAC,281,215,-12.52,0,2,0,1,0,2,15,10
Murray St.,MVC,91,48,-0.02,0,2,1,0,2,1,24,0
N Dakota St,Summit League,47,49,-0.50,1,1,0,2,4,1,21,0
N.C. A&T,CAA,261,238,-14.02,0,4,0,0,0,2,8,12
N.C. Central,MEAC,317,277,-16.54,0,3,0,0,0,1,7,16
Navy,Patriot,128,110,-6.06,0,1,1,1,1,0,19,6
NC State,ACC,25,27,2.60,3,9,5,1,4,0,8,0
Nebraska,Big Ten,28,39,1.02,1,10,4,1,3,1,10,0
Nebraska Omaha,Summit League,355,342,-21.70,0,2,0,6,0,3,4,16
Nevada,Mountain West,242,307,-18.29,0,0,0,2,1,6,8,13
New Hampshire,America East,278,288,-17.36,0,1,0,0,0,4,8,15
New Haven,NEC,350,335,-21.10,0,0,0,1,0,0,5,21
New Mexico,Mountain West,113,118,-6.70,0,0,1,3,1,3,20,4
New Mexico St.,CUSA,301,313,-18.57,0,1,0,1,0,3,6,16
New Orleans,Southland,349,351,-22.83,0,2,0,1,0,3,3,20
Niagara,MAAC,360,357,-24.89,0,2,0,2,0,2,1,22
Nicholls St.,Southland,256,252,-14.93,0,0,0,0,0,3,14,13
NJIT,America East,178,175,-9.85,0,1,0,0,0,2,18,9
Norfolk St.,MEAC,209,157,-8.80,0,4,0,1,0,1,13,7
North Alabama,ASUN,234,204,-11.61,0,1,0,0,0,3,15,10
North Carolina,ACC,19,15,6.17,4,6,9,1,3,0,10,0
North Dakota,Summit League,330,318,-19.76,0,2,0,4,0,3,4,15
North Florida,ASUN,289,297,-17.79,0,2,0,2,0,1,7,16
North Texas,American,104,149,-8.65,0,2,0,3,0,4,17,4
Northeastern,CAA,308,333,-20.97,0,0,0,0,0,1,7,21
Northern Ariz.,Big Sky,253,315,-19.14,0,0,0,3,1,5,7,14
Northern Colo.,Big Sky,149,132,-7.79,0,0,0,2,0,3,19,5
Northern Illinois,MAC,313,325,-20.37,0,1,0,1,0,4,7,17
Northern Iowa,MVC,117,159,-8.87,0,2,0,2,1,3,16,6
Northern Kentucky,Horizon,187,229,-13.32,0,2,0,1,1,1,14,13
Northwestern,Big Ten,131,136,-7.88,0,12,0,4,1,3,7,2
Northwestern St.,Southland,221,184,-10.26,0,2,0,2,1,1,15,9
Notre Dame,ACC,21,22,4.30,7,7,3,3,3,0,9,0
Oakland,Horizon,262,284,-17.11,0,2,0,1,1,2,8,16
Ohio,MAC,158,170,-9.63,0,0,0,3,2,1,15,8
Ohio St.,Big Ten,15,8,9.36,9,7,4,0,2,0,11,0
Oklahoma,SEC,13,13,6.77,6,7,4,0,3,0,11,0
Oklahoma St,Big 12,29,37,1.22,1,3,6,5,5,1,10,0
Old Dominion,Sun Belt,151,154,-8.77,0,4,0,2,2,3,15,5
Ole Miss,SEC,20,24,3.94,5,8,3,2,4,1,11,0
Oral Roberts,Summit League,192,176,-9.86,0,3,0,4,3,1,9,7
Oregon,Big Ten,24,29,2.52,3,8,3,3,4,1,12,0
Oregon St.,WCC,81,99,-5.18,0,2,1,4,3,4,17,1
Pacific,WCC,206,251,-14.92,0,0,0,5,1,7,9,7
Penn,Ivy League,121,108,-5.99,0,2,0,3,1,2,14,3
Penn St.,Big Ten,93,85,-3.96,1,10,1,6,2,1,7,1
Pepperdine,WCC,125,158,-8.80,0,1,1,2,2,2,14,7
Pittsburgh,ACC,264,225,-12.99,0,9,0,4,0,2,8,7
Portland,WCC,130,164,-9.36,0,2,1,1,2,8,13,3
Portland St.,Big Sky,314,350,-22.60,0,0,0,2,0,3,5,20
Prairie View A&M,SWAC,358,361,-25.34,0,2,0,1,0,1,0,24
Presbyterian,Big South,363,362,-25.66,0,1,0,0,0,1,1,25
Princeton,Ivy League,38,28,2.57,1,1,4,1,6,1,13,0
Providence,Big East,147,180,-10.08,0,5,0,4,2,4,13,5
Purdue,Big Ten,72,81,-3.72,0,12,2,2,2,1,9,2
Purdue Fort Wayne,Horizon,139,178,-9.99,0,2,0,0,1,2,18,9
Queens,ASUN,324,290,-17.43,0,2,0,0,0,2,8,16
Quinnipiac,MAAC,84,89,-4.26,0,0,1,2,0,0,25,4
Radford,Big South,207,171,-9.72,0,2,0,1,0,1,20,8
Rhode Island,Atlantic 10,49,43,0.73,1,1,3,1,4,0,19,2
Rice,American,63,51,-0.68,0,2,1,0,4,0,22,2
Richmond,Atlantic 10,37,50,-0.67,0,2,3,4,5,0,18,1
Rider,MAAC,334,329,-20.71,0,0,0,2,0,2,7,18
Robert Morris,Horizon,217,194,-10.78,0,0,0,0,0,1,16,11
Rutgers,Big Ten,171,125,-7.39,0,12,1,3,2,2,6,3
Sacramento St.,Big Sky,204,264,-15.51,0,0,0,2,1,4,12,12
Sacred Heart,MAAC,300,256,-15.09,0,1,0,3,0,4,12,10
Saint Francis,NEC,356,359,-25.31,0,0,0,0,0,0,3,26
Saint Joseph's,Atlantic 10,86,113,-6.18,0,1,1,5,2,2,15,3
Saint Louis,Atlantic 10,224,293,-17.50,0,0,0,4,0,5,11,12
Saint Mary's,WCC,182,223,-12.95,0,2,0,3,0,5,13,7
Saint Peter's,MAAC,347,339,-21.22,0,0,0,3,0,1,6,19
Sam Houston St.,CUSA,180,150,-8.65,0,2,1,1,0,2,14,7
Samford,SoCon,280,235,-13.78,0,4,0,1,0,0,13,13
San Diego,WCC,267,311,-18.51,0,0,0,5,0,7,10,10
San Diego St.,Mountain West,73,55,-1.60,0,1,2,0,3,2,19,2
San Francisco,WCC,169,188,-10.48,0,0,0,3,1,8,16,3
San Jose St.,Mountain West,320,356,-23.86,0,1,0,4,0,6,3,17
Santa Clara,WCC,80,100,-5.22,0,1,1,2,6,3,15,3
Seattle,WCC,342,347,-22.09,0,1,0,1,0,7,3,16
Seton Hall,Big East,64,84,-3.95,0,6,1,1,5,3,13,2
Siena,MAAC,283,260,-15.33,0,0,0,2,0,3,13,12
SIU Edwardsville,OVC,248,239,-14.16,0,0,0,0,1,5,12,11
SMU,ACC,223,200,-11.40,0,9,0,4,0,2,9,6
South Alabama,Sun Belt,181,240,-14.16,0,1,0,4,2,2,14,11
South Carolina,SEC,3,3,14.48,12,3,7,0,3,0,9,0
South Carolina State,MEAC,359,353,-22.92,0,1,0,1,0,1,3,22
South Dakota,Summit League,114,102,-5.42,0,1,2,3,0,1,18,4
South Dakota St,Summit League,39,44,0.64,0,3,4,2,4,1,19,0
South Fla.,American,68,83,-3.78,1,5,1,2,2,2,16,3
Southeast Missouri St.,OVC,231,258,-15.19,0,1,0,1,0,5,12,11
Southeastern Louisiana,Southland,336,323,-20.23,0,3,0,0,0,3,4,18
Southern,SWAC,226,127,-7.59,0,6,0,0,1,0,14,7
Southern Illinois,MVC,284,304,-18.15,0,0,0,0,0,5,8,15
Southern Indiana,OVC,123,130,-7.67,0,1,0,0,0,4,18,5
Southern Miss.,Sun Belt,190,212,-12.28,0,2,0,3,1,1,12,10
Southern Utah,WAC,183,181,-10.15,0,0,0,1,1,5,15,6
St. Bonaventure,Atlantic 10,212,209,-12.04,0,1,0,2,2,1,13,11
St. John's,Big East,100,79,-3.55,0,3,4,2,3,4,15,2
St. Thomas,Summit League,228,208,-12.00,0,2,0,4,0,2,13,8
Stanford,ACC,44,56,-1.71,2,6,4,6,3,0,10,1
Stephen F. Austin,Southland,161,126,-7.45,0,0,0,1,1,3,22,5
Stetson,ASUN,175,146,-8.53,0,1,0,1,1,0,17,9
Stonehill,NEC,337,272,-16.26,0,1,0,0,0,1,11,16
Stony Brook,CAA,244,210,-12.06,0,1,0,1,0,1,14,11
Syracuse,ACC,40,33,2.22,1,7,6,1,3,0,13,0
Tarleton St.,WAC,216,230,-13.32,0,1,0,1,0,4,12,10
TCU,Big 12,12,12,6.89,4,3,10,2,1,0,14,0
Temple,American,140,191,-10.71,0,5,0,2,2,3,13,7
Tennessee,SEC,22,32,2.23,5,11,1,1,2,1,8,0
Tennessee Martin,OVC,257,247,-14.66,0,1,0,0,1,5,9,11
Tennessee St.,OVC,325,330,-20.74,0,2,0,0,1,3,4,19
Tennessee Tech,OVC,222,207,-11.91,0,1,0,0,0,4,13,9
Texas,SEC,4,2,14.75,14,3,5,0,4,0,8,0
Texas A&M,SEC,61,38,1.13,2,9,5,0,2,2,5,1
Texas A&M Corpus Chris,Southland,340,332,-20.80,0,1,0,1,0,3,5,18
Texas Southern,SWAC,335,289,-17.36,0,3,0,0,0,3,6,15
Texas St.,Sun Belt,251,267,-15.81,0,2,0,1,0,4,9,12
Texas Tech,Big 12,31,31,2.33,3,1,5,6,3,0,14,0
Toledo,MAC,157,189,-10.67,0,1,0,3,2,2,13,8
Towson,CAA,229,201,-11.54,0,2,0,0,0,1,16,11
Troy,Sun Belt,76,69,-2.81,0,1,0,3,5,1,19,2
Tulane,American,185,262,-15.40,0,2,0,3,0,4,11,11
Tulsa,American,150,140,-8.22,0,1,1,2,2,4,16,5
UAB,American,197,257,-15.11,0,1,0,1,0,4,11,12
UC Davis,Big West,167,115,-6.46,0,1,0,2,1,3,20,3
UC Irvine,Big West,79,82,-3.76,0,0,0,0,1,2,25,3
UC Riverside,Big West,243,308,-18.33,0,0,0,2,1,7,8,12
UC San Diego,Big West,118,105,-5.84,0,1,1,0,2,1,18,6
UC Santa Barbara,Big West,143,128,-7.62,0,1,0,1,2,2,17,6
UCF,Big 12,145,162,-9.26,0,7,2,5,1,3,8,4
UCLA,Big Ten,2,1,17.02,18,1,2,0,5,0,6,0
UConn,Big East,1,4,11.40,9,0,5,0,8,0,12,0
UMass Lowell,America East,348,316,-19.55,0,0,0,0,0,3,5,18
UMBC,America East,186,196,-11.01,1,1,0,0,1,2,12,11
UMKC,Summit League,286,298,-17.84,0,2,0,5,0,4,4,12
UNC Asheville,Big South,333,291,-17.44,0,0,0,0,0,1,9,17
UNC Greensboro,SoCon,279,236,-13.83,0,2,0,0,0,1,10,13
UNC Wilmington,CAA,326,348,-22.16,0,1,0,0,0,2,6,21
UNLV,Mountain West,96,117,-6.70,0,0,0,6,3,4,18,1
USC,Big Ten,23,26,3.05,4,12,3,0,2,1,8,0
USC Upstate,Big South,343,285,-17.16,0,3,0,0,0,1,9,16
UT Arlington,WAC,232,275,-16.48,0,1,1,2,0,3,11,14
UT Rio Grande Valley,Southland,201,166,-9.39,0,2,0,1,0,4,18,6
Utah,Big 12,59,54,-1.13,2,2,4,9,1,1,11,0
Utah St.,Mountain West,292,327,-20.63,0,1,0,1,0,7,5,15
Utah Tech,WAC,258,306,-18.24,0,0,0,1,0,3,8,16
Utah Valley,WAC,184,211,-12.18,0,0,0,1,2,3,12,10
UTEP,CUSA,268,243,-14.35,0,1,0,2,0,2,11,12
UTSA,American,129,183,-10.23,0,2,1,2,1,4,13,7
Valparaiso,MVC,357,363,-29.50,0,1,0,0,0,4,0,27
Vanderbilt,SEC,7,7,9.79,8,4,6,0,5,0,8,0
VCU,Atlantic 10,240,276,-16.51,0,4,0,6,0,4,8,9
Vermont,America East,82,95,-4.66,0,1,0,0,2,1,22,5
Villanova,Big East,35,35,1.48,2,3,2,3,6,1,15,0
Virginia,ACC,36,52,-0.74,3,6,2,4,3,0,11,1
Virginia Tech,ACC,41,34,1.81,3,7,4,1,5,1,11,0
Wagner,NEC,332,253,-15.03,0,1,0,2,0,0,11,14
Wake Forest,ACC,127,134,-7.84,0,8,0,5,1,1,13,3
Washington,Big Ten,26,23,4.25,6,7,2,3,2,0,11,0
Washington St.,WCC,227,310,-18.44,0,2,0,6,1,9,8,8
Weber St.,Big Sky,254,303,-18.05,0,1,0,5,1,3,7,13
West Georgia,ASUN,236,186,-10.34,0,1,0,2,0,2,16,8
West Virginia,Big 12,18,14,6.64,3,3,10,3,3,0,11,0
Western Carolina,SoCon,354,354,-23.63,0,1,0,2,0,1,0,22
Western Illinois,OVC,89,70,-2.94,0,1,0,0,3,0,20,4
Western Kentucky,CUSA,295,300,-17.88,0,2,0,2,0,1,7,16
Western Michigan,MAC,266,259,-15.22,0,2,0,1,0,4,9,12
Wichita St.,American,263,320,-19.90,0,1,0,3,1,1,6,18
William & Mary,CAA,220,198,-11.31,0,0,0,2,1,1,15,10
Winthrop,Big South,305,232,-13.75,0,3,0,1,0,0,12,13
Wisconsin,Big Ten,85,71,-2.94,2,11,1,4,0,1,10,1
Wofford,SoCon,235,197,-11.08,0,1,0,1,0,2,13,9
Wright St.,Horizon,294,317,-19.70,0,1,0,0,0,1,8,20
Wyoming,Mountain West,250,269,-15.93,0,1,0,4,1,4,8,11
Xavier,Big East,200,220,-12.70,0,3,0,3,2,6,9,7
Yale,Ivy League,270,274,-16.35,0,1,0,3,0,6,7,10
Youngstown St.,Horizon,136,119,-6.71,0,1,0,0,1,2,21,6
