team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Abilene Christian,WAC,107,123,-7.17,0,1,0,0,2,0,17,8
Air Force,Mountain West,215,248,-14.78,0,0,0,2,1,9,14,7
Akron,MAC,291,321,-19.98,0,2,0,2,0,4,5,16
Alabama,SEC,27,20,4.64,5,8,4,1,4,1,10,0
Alabama A&M,SWAC,205,103,-5.45,0,3,0,1,0,1,19,4
Alabama St.,SWAC,296,147,-8.55,0,5,0,0,0,1,14,7
Albany,America East,189,217,-12.59,0,2,0,1,0,3,13,10
Alcorn St.,SWAC,307,165,-9.39,0,3,0,1,0,1,14,8
American,Patriot,319,340,-21.37,0,1,0,0,0,2,7,20
Appalachian St.,Sun Belt,193,246,-14.64,0,3,0,3,0,3,9,10
Arizona,Big 12,119,156,-8.80,0,5,1,8,2,2,9,3
Arizona St,Big 12,51,42,0.80,1,6,6,2,5,2,12,0
Arkansas,SEC,105,122,-7.05,0,11,0,4,3,3,9,2
Arkansas Pine Bluff,SWAC,323,227,-13.04,0,1,0,1,0,2,14,11
Arkansas St.,Sun Belt,92,104,-5.82,0,0,1,2,1,6,21,1
Army West Point,Patriot,124,101,-5.26,0,1,0,0,0,2,23,4
Auburn,SEC,87,73,-3.01,0,12,4,4,1,1,10,0
Austin Peay,ASUN,155,190,-10.71,0,1,0,0,0,2,17,10
Ball St.,MAC,66,65,-2.38,0,2,0,2,3,1,22,1
Baylor,Big 12,32,21,4.31,3,6,6,2,4,0,11,0
Bellarmine,ASUN,362,358,-25.09,0,4,0,0,0,4,1,22
Belmont,MVC,101,98,-4.89,0,5,0,1,1,2,19,3
Bethune Cookman,SWAC,345,346,-22.05,0,2,0,2,0,0,5,21
Binghamton,America East,177,148,-8.62,0,2,0,1,1,1,16,8
Boise St.,Mountain West,122,111,-6.08,0,0,0,3,1,3,23,3
Boston College,ACC,245,270,-16.08,0,8,0,6,0,6,5,6
Boston University,Patriot,285,299,-17.88,0,1,0,0,0,4,10,15
Bowling Green,MAC,188,187,-10.45,0,1,0,2,0,6,13,5
Bradley,MVC,160,141,-8.32,0,1,0,0,0,5,19,5
Brown,Ivy League,138,121,-6.82,0,1,0,3,1,3,14,3
Bryant,America East,163,192,-10.76,0,0,0,0,0,2,16,10
Bucknell,Patriot,298,282,-16.97,0,1,0,0,0,4,10,14
Buffalo,MAC,310,355,-23.77,0,1,0,2,0,5,3,19
Butler,Big East,133,203,-11.56,0,4,0,4,2,6,10,5
BYU,Big 12,56,46,0.12,0,5,8,4,2,1,12,1
CA Baptist,WAC,126,129,-7.63,0,1,0,1,2,2,19,6
Cal Poly,Big West,338,343,-21.71,0,3,0,2,0,3,2,18
Cal St. Bakersfield,Big West,306,338,-21.19,0,0,0,2,0,4,6,17
Cal St. Fullerton,Big West,195,213,-12.40,0,0,0,1,0,3,16,10
Cal St. Northridge,Big West,276,302,-17.93,0,0,0,2,0,6,8,12
California,ACC,52,68,-2.66,1,8,3,4,2,2,13,0
Campbell,CAA,211,168,-9.52,0,0,0,1,1,1,17,9
Canisius,MAAC,341,331,-20.78,0,2,0,2,0,3,5,17
Central Arkansas,ASUN,106,161,-9.09,0,0,0,1,1,3,18,7
Central Connecticut,NEC,361,360,-25.32,0,1,0,0,0,2,2,24
Central Michigan,MAC,116,124,-7.33,0,3,0,2,1,2,16,5
Charleston,CAA,103,78,-3.49,0,0,0,1,2,0,20,4
Charleston Southern,Big South,331,314,-18.67,0,2,0,2,0,3,7,15
Charlotte,American,170,222,-12.84,0,3,0,3,1,4,13,8
Chattanooga,SoCon,208,153,-8.73,0,0,0,2,0,0,18,8
Chicago St.,NEC,346,328,-20.65,0,1,0,1,0,2,9,19
Cincinnati,Big 12,109,167,-9.52,0,4,3,9,0,3,7,4
Clemson,ACC,42,36,1.34,3,10,3,1,1,0,14,0
Cleveland St.,Horizon,152,131,-7.67,0,0,0,0,1,1,21,8
Coastal Carolina,Sun Belt,146,228,-13.22,0,3,0,3,0,5,12,7
Colgate,Patriot,322,344,-21.78,0,1,0,1,0,4,6,18
Colorado,Big 12,46,41,0.81,2,5,6,3,3,2,11,1
Colorado St.,Mountain West,70,80,-3.56,0,0,1,2,3,4,22,1
Columbia,Ivy League,58,58,-1.83,1,1,4,2,0,3,15,1
Coppin St.,MEAC,293,273,-16.33,0,5,0,1,0,1,8,15
Cornell,Ivy League,299,242,-14.26,0,2,1,2,1,3,6,11
Creighton,Big East,90,114,-6.33,0,5,1,4,3,3,12,3
Dartmouth,Ivy League,321,234,-13.77,0,1,0,3,0,4,7,9
Davidson,Atlantic 10,71,106,-5.90,0,4,0,4,3,2,18,2
Dayton,Atlantic 10,168,179,-10.06,0,0,1,6,1,1,15,7
Delaware,CUSA,238,283,-16.98,0,0,0,1,0,4,12,14
Delaware St.,MEAC,344,336,-21.12,0,1,0,0,0,1,4,21
Denver,Summit League,290,261,-15.40,0,1,0,4,0,3,8,11
DePaul,Big East,202,271,-16.21,0,5,0,3,2,5,6,11
Detroit Mercy,Horizon,303,326,-20.38,0,1,0,0,0,3,7,19
Drake,MVC,213,249,-14.81,0,2,0,1,0,6,12,10
Drexel,CAA,165,135,-7.84,0,0,0,0,0,3,19,6
Duke,ACC,8,10,7.96,9,7,5,1,2,0,8,0
Duquesne,Atlantic 10,241,268,-15.91,0,1,0,2,1,4,9,12
East Carolina,American,112,120,-6.79,0,0,0,1,2,2,20,6
East Tennessee St.,SoCon,247,182,-10.21,0,3,0,0,0,0,16,10
East Texas A&M,Southland,287,244,-14.42,0,2,0,0,0,2,11,13
Eastern Illinois,OVC,316,352,-22.90,0,2,0,2,0,5,4,18
Eastern Kentucky,ASUN,110,107,-5.92,0,1,0,0,1,1,21,6
Eastern Michigan,MAC,196,216,-12.53,0,1,0,3,0,4,12,8
Eastern Washington,Big Sky,210,254,-15.05,0,0,0,3,1,4,12,11
Elon,CAA,214,226,-12.99,0,1,0,0,0,3,15,11
Evansville,MVC,275,334,-21.08,0,1,0,1,1,3,7,19
Fairfield,MAAC,53,45,0.27,2,2,0,0,3,1,23,1
FDU,NEC,134,67,-2.58,0,1,0,1,0,0,27,2
FIU,CUSA,173,139,-8.17,0,0,0,2,0,2,19,6
Florida,SEC,48,62,-2.25,2,10,1,1,3,3,12,1
Florida A&M,SWAC,339,324,-20.33,0,0,0,2,0,1,8,19
Florida Atlantic,American,239,250,-14.83,0,0,0,3,1,5,12,10
Florida Gulf Coast,ASUN,159,195,-10.94,0,1,1,2,1,4,12,8
Florida St.,ACC,108,143,-8.41,0,9,0,9,3,2,7,1
Fordham,Atlantic 10,259,278,-16.55,0,1,0,5,0,2,9,12
Fresno St.,Mountain West,174,241,-14.16,0,1,0,4,0,6,14,7
Furman,SoCon,246,172,-9.73,0,2,0,3,0,0,14,8
