canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
abilene-christian,Abilene Christian,WAC,Abilene Christian,WAC,108,135,-8.01,0,1,0,0,2,0,18,9,Abilene Christian,WAC,108,.7023,1,1
air-force,Air Force,Mountain West,Air Force,Mountain West,213,248,-14.73,0,0,0,2,1,9,14,7,Air Force,MWC,195,.3839,1,1
akron,Akron,MAC,Akron,MAC,292,321,-19.96,0,2,0,2,0,4,5,16,Akron,MAC,288,.1341,1,1
alabama,Alabama,SEC,Alabama,SEC,27,20,4.64,5,8,4,1,4,1,10,0,Alabama,SEC,29,.9725,1,1
alabama-a-and-m,Alabama A&M,SWAC,Alabama A&M,SWAC,209,114,-6.43,0,3,0,1,0,1,19,5,Alabama A&M,SWAC,234,.2899,1,1
alabama-state,Alabama St.,SWAC,Alabama St.,SWAC,297,165,-9.51,0,5,0,0,0,1,15,8,Alabama St.,SWAC,322,.0678,1,1
albany,Albany,America East,Albany,America East,188,216,-12.55,0,2,0,1,0,3,13,10,Albany,AE,203,.3720,1,1
alcorn-state,Alcorn St.,SWAC,Alcorn St.,SWAC,308,162,-9.38,0,3,0,1,0,1,14,8,Alcorn St.,SWAC,323,.0659,1,1
american,American,Patriot,American,Patriot,318,340,-21.36,0,1,0,0,0,2,7,20,American,Pat,325,.0584,1,1
appalachian-state,Appalachian St.,Sun Belt,Appalachian St.,Sun Belt,193,246,-14.62,0,3,0,3,0,3,9,10,Appalachian St.,SB,198,.3777,1,1
arizona,Arizona,Big 12,Arizona,Big 12,121,148,-8.77,0,5,1,8,2,2,9,3,Arizona,B12,107,.7050,1,1
arizona-state,Arizona St,Big 12,Arizona St,Big 12,51,42,0.84,1,6,6,2,5,2,12,0,Arizona St.,B12,45,.9341,1,1
arkansas,Arkansas,SEC,Arkansas,SEC,104,119,-7.05,0,11,0,4,3,3,9,2,Arkansas,SEC,102,.7377,1,1
arkansas-pine-bluff,Arkansas Pine Bluff,SWAC,Arkansas Pine Bluff,SWAC,323,237,-14.03,0,1,0,1,0,2,14,12,Arkansas Pine Bluff,SWAC,339,.0396,1,1
arkansas-state,Arkansas St.,Sun Belt,Arkansas St.,Sun Belt,92,103,-5.82,0,0,1,2,1,6,21,1,Arkansas St.,SB,101,.7422,1,1
army-west-point,Army West Point,Patriot,Army West Point,Patriot,125,100,-5.24,0,1,0,0,0,2,23,4,Army,Pat,148,.5686,1,1
auburn,Auburn,SEC,Auburn,SEC,86,73,-2.99,0,12,4,4,1,1,10,0,Auburn,SEC,85,.8003,1,1
austin-peay,Austin Peay,ASUN,Austin Peay,ASUN,156,188,-10.68,0,1,0,0,0,3,17,9,Austin Peay,ASun,161,.5134,1,1
ball-state,Ball St.,MAC,Ball St.,MAC,68,77,-3.26,0,2,0,2,3,1,22,2,Ball St.,MAC,84,.8073,1,1
baylor,Baylor,Big 12,Baylor,Big 12,32,21,4.34,3,6,6,2,4,0,11,0,Baylor,B12,35,.9645,1,1
bellarmine,Bellarmine,ASUN,Bellarmine,ASUN,362,358,-25.06,0,4,0,0,0,4,1,22,Bellarmine,ASun,363,.0038,1,1
belmont,Belmont,MVC,Belmont,MVC,106,104,-5.87,0,5,0,1,1,3,19,3,Belmont,MVC,119,.6693,1,1
bethune-cookman,Bethune Cookman,SWAC,Bethune Cookman,SWAC,345,346,-22.04,0,2,0,2,0,0,5,21,Bethune Cookman,SWAC,352,.0239,1,1
binghamton,Binghamton,America East,Binghamton,America East,177,140,-8.60,0,2,0,1,1,1,16,8,Binghamton,AE,216,.3311,1,1
boise-state,Boise St.,Mountain West,Boise St.,Mountain West,122,109,-6.04,0,0,0,3,1,3,23,3,Boise St.,MWC,114,.6830,1,1
boston-college,Boston College,ACC,Boston College,ACC,244,270,-16.06,0,7,0,7,0,6,5,6,Boston College,ACC,207,.3633,1,1
boston-university,Boston University,Patriot,Boston University,Patriot,285,300,-17.87,0,1,0,0,0,4,10,15,Boston University,Pat,297,.1155,1,1
