canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,conference,her_hoop_stats,espn,ncaa,college_sports_madness,the_ix,cbssports,usatoday,the_athletic
oregon,Oregon,,,8,7,B10,8,7,8,10,3,7,6,7
tennessee,Tennessee,,,8,7,SEC,8,8,8,8,1,8,8,7
georgia,Georgia,,,7,7,SEC,7,7,7,7,,7,8,6
illinois,Illinois,,,8,7.375,B10,7,7,7,10,5,8,7,8
villanova,Villanova,,,8,8.125,BE,9,8,9,8,4,9,9,9
iowa-state,Iowa St.,,,7,8.143,B12,8,9,9,,3,10,9,9
usc,USC,,,8,8.25,B10,9,9,8,7,9,8,8,8
oklahoma-state,Oklahoma St,,,7,8.286,B12,9,8,8,8,,9,8,8
syracuse,Syracuse,,,8,9,ACC,10,9,9,9,9,8,9,9
virginia-tech,Virginia Tech,,,8,9,ACC,8,9,9,8,9,9,9,11
princeton,Princeton,,,8,9.125,Ivy,9,10,11,10,4,9,10,10
clemson,Clemson,,,7,10,ACC,10,10,10,9,,10,10,11
columbia,Columbia,,,1,10,Ivy,,,,,,,NFO,10
colorado,Colorado,,,7,10.143,B12,10,10,10,9,,11,11,10
gonzaga,Gonzaga,,,5,10.2,WCC,12,12,12,12,3,,,
fairfield,Fairfield,,,8,10.375,MAAC,11,11,11,11,7,11,11,10
rhode-island,Rhode Island,,,8,10.375,A10,10,11,10,10,12,10,11,9
james-madison,James Madison,,,5,10.6,SB,12,12,,12,5,,12,
richmond,Richmond,,,6,10.833,A10,11,11,11,,11,FFO,10,11
south-dakota-state,South Dakota St,,,6,10.833,Sum,11,10,12,12,,10,10,
virginia,Virginia,,,8,10.875,ACC,11,12,11,9,11,11,11,11
rice,Rice,,,7,11,Amer,,11,10,11,10,12,11,12
byu,BYU,,,1,11,B12,FFO,FFO,,,FFO,11,FFO,NFO
mississippi-state,Mississippi St,,,1,11,SEC,FFO,NFO,,,FFO,NFO,FFO,11
n-dakota-state,N Dakota St,,,1,11,Sum,FFO,FFO,,,FFO,NFO,FFO,11
stanford,Stanford,,,1,11,ACC,,NFO,,11,NFO,FFO,NFO,
utah,Utah,,,1,11,B12,FFO,FFO,,11,FFO,FFO,,
nebraska,Nebraska,,,7,11.143,B10,11,11,11,11,11,11,12,
arizona-state,Arizona St,,,7,11.286,B12,11,12,11,11,11,11,12,
colorado-state,Colorado St,,,5,11.4,MWC,13,13,12,12,7,,,
murray-state,Murray St,,,8,12,MVC,14,12,15,13,4,12,12,14
ball-state,Ball St.,,,2,12,MAC,12,,,,,,,12
georgia-southern,Georgia Southern,,,1,12,SB,,,,,,,,12
montana-state,Montana St.,,,1,12,BSky,12,,,,,,,
troy,Troy,,,1,12,SB,,,,,,12,,
miami-oh,Miami (OH),,,6,12.167,MAC,,13,14,13,8,13,12,
la-tech,La. Tech,,,8,12.5,CUSA,13,14,15,13,6,13,13,13
san-diego-state,San Diego State,,,1,13,MWC,,,,,,,,13
south-fla,South Fla.,,,1,13,Amer,13,,,,,,,
idaho,Idaho,,,7,13.143,BSky,,14,14,15,7,14,14,14
uc-irvine,UC Irvine,,,7,13.143,BW,13,13,13,14,12,14,13,
mcneese-state,McNeese St,,,8,13.25,Slnd,14,14,13,14,13,12,13,13
loyola-marymount,Loyola Marymount,,,4,13.5,WCC,,,12,,,15,15,12
green-bay,Green Bay,,,7,13.571,Horz,15,13,13,13,,14,14,13
western-illinois,Western Illinois,,,7,13.857,OVC,14,15,13,15,,13,13,14
charleston,Charleston,,,8,13.875,CAA,15,15,14,14,12,13,14,14
vermont,Vermont,,,8,13.875,AE,14,14,15,14,10,15,14,15
navy,Navy,,,7,14.286,Pat,,15,16,16,8,15,15,15
unlv,UNLV,,,2,14.5,MWC,,,,,,14,15,
abilene-christian,Abilene Christian,,,1,15,WAC,15,,,,,,,
uc-san-diego,UC San Diego,,,1,15,BW,,,,,,,,15
fdu,FDU,,,8,15.375,NEC,16,16,16,15,14,15,15,16
high-point,High Point,,,8,15.375,BSth,16,16,14,16,14,16,16,15
jacksonville,Jacksonville,,,7,15.429,ASun,15,15,15,15,16,16,16,
alabama-a-and-m,Alabama A&M,,,8,16,SWAC,16,16,16,16,16,16,16,16
howard,Howard,,,8,16,MEAC,16,16,16,16,16,16,16,16
samford,Samford,,,7,16,SC,16,16,16,16,16,16,16,
ca-baptist,CA Baptist,,,6,16,WAC,,16,16,16,,16,16,16
army-west-point,Army West Point,,,1,16,Pat,16,,,,,,,
chattanooga,Chattanooga,,,1,16,SC,,,,,,,,16
e-kentucky,Eastern Kentucky,,,1,16,ASun,,,,,,,,16
florida,Florida,,,0,99.0,SEC,,,,,,,FFO,
indiana,Indiana,,,0,99.0,B10,,NFO,,,NFO,NFO,,
kansas,Kansas,,,0,99.0,B12,,,,,,NFO,,
kansas-state,Kansas State,,,0,99.0,B12,,NFO,,,NFO,,NFO,
texas-a-and-m,Texas A&M,,,0,99.0,SEC,,FFO,,,NFO,FFO,NFO,
