canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,conference,her_hoop_stats,espn,ncaa,college_sports_madness,the_ix,cbssports,usatoday,the_athletic
ucla,UCLA,,,8,1,B10,1,1,1,1,1,1,1,1
uconn,UConn,,,8,1,BE,1,1,1,1,1,1,1,1
texas,Texas,,,8,1.125,SEC,1,1,1,1,2,1,1,1
south-carolina,South Carolina,,,8,1.75,SEC,1,1,1,1,7,1,1,1
lsu,LSU,,,7,2,SEC,2,2,2,2,,2,2,2
vanderbilt,Vanderbilt,,,7,2,SEC,2,2,2,2,,2,2,2
duke,Duke,,,8,2.625,ACC,2,2,2,2,6,2,2,3
michigan,Michigan,,,7,2.857,B10,3,3,3,3,,3,3,2
louisville,Louisville,,,8,2.875,ACC,3,3,3,3,2,3,3,3
iowa,Iowa,,,8,3.25,B10,2,2,2,2,12,2,2,2
ohio-state,Ohio St.,,,8,3.5,B10,3,3,3,3,6,3,3,4
tcu,TCU,,,8,3.625,B12,3,3,3,3,8,3,3,3
oklahoma,Oklahoma,,,7,3.857,SEC,4,4,4,4,,4,4,3
maryland,Maryland,,,8,4.125,B10,4,4,4,5,4,4,4,4
north-carolina,North Carolina,,,8,4.25,ACC,5,5,5,4,1,5,4,5
minnesota,Minnesota,,,8,4.75,B10,4,4,4,5,8,4,5,4
michigan-state,Michigan St,,,8,5,B10,5,5,5,5,5,5,5,5
west-virginia,West Virginia,,,8,5.375,B12,4,4,4,4,14,4,4,5
kentucky,Kentucky,,,8,5.5,SEC,5,5,5,6,9,5,5,4
alabama,Alabama,,,8,5.625,SEC,6,6,6,7,2,6,6,6
baylor,Baylor,,,8,5.625,B12,6,6,6,6,2,6,7,6
ole-miss,Ole Miss,,,8,5.75,SEC,5,5,5,4,10,6,5,6
notre-dame,Notre Dame,,,7,5.857,ACC,6,6,6,5,,5,6,7
north-carolina-state,NC State,,,8,6,ACC,6,8,6,6,3,7,7,5
texas-tech,Texas Tech,,,8,6.625,B12,7,6,7,6,5,7,7,8
washington,Washington,,,8,6.625,B10,7,7,7,7,6,6,6,7
