team,conference,bart_rank,barthag
Connecticut,BE,1,.9996
UCLA,B10,2,.9991
Texas,SEC,3,.9988
South Carolina,SEC,4,.9986
LSU,SEC,5,.9977
Michigan,B10,6,.9952
Duke,ACC,7,.9937
Minnesota,B10,8,.9915
Vanderbilt,SEC,9,.9907
Iowa,B10,10,.9907
Louisville,ACC,11,.9905
Maryland,B10,12,.9893
Ohio St.,B10,13,.9892
Oklahoma,SEC,14,.9889
TCU,B12,15,.9885
West Virginia,B12,16,.9881
Kentucky,SEC,17,.9881
North Carolina,ACC,18,.9864
Washington,B10,19,.9834
USC,B10,20,.9826
Mississippi,SEC,21,.9823
Michigan St.,B10,22,.9819
Tennessee,SEC,23,.9805
Notre Dame,ACC,24,.9802
N.C. State,ACC,25,.9767
Nebraska,B10,26,.9751
Oregon,B10,27,.9743
Villanova,BE,28,.9741
Alabama,SEC,29,.9725
Texas Tech,B12,30,.9715
Georgia,SEC,31,.9714
Illinois,B10,32,.9711
Oklahoma St.,B12,33,.9675
Iowa St.,B12,34,.9664
Baylor,B12,35,.9640
Colorado,B12,36,.9613
Virginia Tech,ACC,37,.9591
Florida,SEC,38,.9524
Syracuse,ACC,39,.9506
Virginia,ACC,40,.9437
Mississippi St.,SEC,41,.9417
Stanford,ACC,42,.9409
James Madison,SB,43,.9371
Richmond,A10,44,.9340
Arizona St.,B12,45,.9331
Indiana,B10,46,.9307
California,ACC,47,.9277
Kansas,B12,48,.9259
Clemson,ACC,49,.9229
Texas A&M,SEC,50,.9201
South Dakota St.,Sum,51,.9184
Kansas St.,B12,52,.9121
Utah,B12,53,.9084
Princeton,Ivy,54,.9080
BYU,B12,55,.8994
Seton Hall,BE,56,.8988
Marquette,BE,57,.8932
Columbia,Ivy,58,.8914
Rhode Island,A10,59,.8909
Fairfield,MAAC,60,.8889
Georgia Tech,ACC,61,.8883
Gonzaga,WCC,62,.8836
George Mason,A10,63,.8833
North Dakota St.,Sum,64,.8811
Miami FL,ACC,65,.8780
Harvard,Ivy,66,.8652
Montana St.,BSky,67,.8649
Creighton,BE,68,.8597
Wisconsin,B10,69,.8581
Colorado St.,MWC,70,.8539
South Florida,Amer,71,.8486
Penn St.,B10,72,.8462
San Diego St.,MWC,73,.8353
Missouri,SEC,74,.8351
Georgetown,BE,75,.8345
Purdue,B10,76,.8337
Rice,Amer,77,.8316
Georgia Southern,SB,78,.8270
Oregon St.,WCC,79,.8197
Miami OH,MAC,80,.8154
Ball St.,MAC,81,.8139
St. John's,BE,82,.8106
UNLV,MWC,83,.8105
Davidson,A10,84,.8104
Louisiana Tech,CUSA,85,.8073
Auburn,SEC,86,.7983
Troy,SB,87,.7933
McNeese St.,Slnd,88,.7930
Green Bay,Horz,89,.7872
Idaho,BSky,90,.7843
UC Irvine,BW,91,.7842
Santa Clara,WCC,92,.7806
Cincinnati,B12,93,.7672
Quinnipiac,MAAC,94,.7647
Saint Joseph's,A10,95,.7626
Loyola Marymount,WCC,96,.7600
North Texas,Amer,97,.7535
Vermont,AE,98,.7502
Florida St.,ACC,99,.7492
Massachusetts,MAC,100,.7453
Arkansas St.,SB,101,.7442
Arkansas,SEC,102,.7362
Lindenwood,OVC,103,.7295
Butler,BE,104,.7259
Murray St.,MVC,105,.7245
Western Illinois,OVC,106,.7224
Abilene Christian,WAC,107,.7063
Belmont,MVC,108,.7021
Arizona,B12,109,.7019
Northwestern,B10,110,.7004
New Mexico,MWC,111,.6983
Hawaii,BW,112,.6920
Boise St.,MWC,113,.6809
Central Arkansas,ASun,114,.6757
Providence,BE,115,.6722
UC San Diego,BW,116,.6715
Southern Indiana,OVC,117,.6690
Portland,WCC,118,.6675
Pepperdine,WCC,119,.6617
Wake Forest,ACC,120,.6594
Eastern Kentucky,ASun,121,.6590
Navy,Pat,122,.6512
Cal Baptist,WAC,123,.6447
Marshall,SB,124,.6436
East Carolina,Amer,125,.6296
Charleston,CAA,126,.6252
South Dakota,Sum,127,.6173
Penn,Ivy,128,.6165
Ohio,MAC,129,.6155
Fairleigh Dickinson,NEC,130,.6146
Purdue Fort Wayne,Horz,131,.6122
Brown,Ivy,132,.6115
Northern Colorado,BSky,133,.6110
Grand Canyon,MWC,134,.6073
Rutgers,B10,135,.6039
Liberty,CUSA,136,.5942
Missouri St.,CUSA,137,.5927
Northern Iowa,MVC,138,.5924
Temple,Amer,139,.5871
Xavier,BE,140,.5865
Army,Pat,141,.5828
Central Michigan,MAC,142,.5815
UC Santa Barbara,BW,143,.5811
Idaho St.,BSky,144,.5791
UCF,B12,145,.5743
Jacksonville,ASun,146,.5711
Cleveland St.,Horz,147,.5672
Old Dominion,SB,148,.5668
UTSA,Amer,149,.5646
Youngstown St.,Horz,150,.5641
La Salle,A10,151,.5640
Toledo,MAC,152,.5603
San Francisco,WCC,153,.5594
Coastal Carolina,SB,154,.5474
Fresno St.,MWC,155,.5449
