source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,team_raw,seed,is_play_in,scraped_at_iso,canonical_slug,team_display,ncaa_id,espn_id,conference,resolution_method,resolution_confidence
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Princeton,9,False,2026-03-12T05:31:32+00:00,princeton,Princeton,,,Ivy,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Kentucky,5,False,2026-03-12T05:31:32+00:00,kentucky,Kentucky,,,SEC,alias,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Ball St.,12,False,2026-03-12T05:31:32+00:00,ball-state,Ball St.,,,MAC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,West Virginia,4,False,2026-03-12T05:31:32+00:00,west-virginia,West Virginia,,,B12,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,South Fla.,13,False,2026-03-12T05:31:32+00:00,south-fla,South Fla.,,,Amer,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Baylor,6,False,2026-03-12T05:31:32+00:00,baylor,Baylor,,,B12,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Fairfield,11,False,2026-03-12T05:31:32+00:00,fairfield,Fairfield,,,MAAC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Louisville,3,False,2026-03-12T05:31:32+00:00,louisville,Louisville,,,ACC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Western Ill.,14,False,2026-03-12T05:31:32+00:00,western-illinois,Western Illinois,,,OVC,alias,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Washington,7,False,2026-03-12T05:31:32+00:00,washington,Washington,,,B10,new,100.0
