canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
baylor,Baylor,Big 12,Baylor,Big 12,32,21,4.33,3,6,6,2,4,0,11,0,Baylor,B12,35,.9648,1,1
bellarmine,Bellarmine,ASUN,Bellarmine,ASUN,362,358,-25.09,0,4,0,0,0,4,1,22,Bellarmine,ASun,363,.0038,1,1
belmont,Belmont,MVC,Belmont,MVC,101,98,-4.86,0,5,0,1,1,2,19,3,Belmont,MVC,110,.7012,1,1
bethune-cookman,Bethune Cookman,SWAC,Bethune Cookman,SWAC,345,347,-22.05,0,2,0,2,0,0,5,21,Bethune Cookman,SWAC,353,.0237,1,1
binghamton,Binghamton,America East,Binghamton,America East,178,149,-8.62,0,2,0,1,1,1,16,8,Binghamton,AE,216,.3335,1,1
boise-state,Boise St.,Mountain West,Boise St.,Mountain West,122,111,-6.07,0,0,0,3,1,3,23,3,Boise St.,MWC,113,.6820,1,1
boston-college,Boston College,ACC,Boston College,ACC,245,272,-16.06,0,8,0,6,0,6,5,6,Boston College,ACC,208,.3630,1,1
boston-university,Boston University,Patriot,Boston University,Patriot,285,302,-17.86,0,1,0,0,0,4,10,15,Boston University,Pat,296,.1159,1,1
bowling-green,Bowling Green,MAC,Bowling Green,MAC,187,187,-10.44,0,1,0,2,0,6,13,5,Bowling Green,MAC,180,.4495,1,1
bradley,Bradley,MVC,Bradley,MVC,160,142,-8.31,0,1,0,0,0,5,19,5,Bradley,MVC,156,.5388,1,1
brown,Brown,Ivy League,Brown,Ivy League,137,121,-6.82,0,1,0,3,1,3,14,3,Brown,Ivy,132,.6110,1,1
bryant,Bryant,America East,Bryant,America East,162,193,-10.76,0,0,0,0,0,2,16,10,Bryant,AE,178,.4556,1,1
bucknell,Bucknell,Patriot,Bucknell,Patriot,297,282,-16.95,0,1,0,0,0,4,10,14,Bucknell,Pat,307,.0902,1,1
buffalo,Buffalo,MAC,Buffalo,MAC,310,355,-23.76,0,1,0,2,0,5,3,19,Buffalo,MAC,315,.0755,1,1
butler,Butler,Big East,Butler,Big East,133,207,-11.55,0,4,0,4,2,6,10,5,Butler,BE,104,.7283,1,1
byu,BYU,Big 12,BYU,Big 12,56,46,0.15,0,5,8,4,2,1,12,1,BYU,B12,55,.9010,1,1
ca-baptist,CA Baptist,WAC,CA Baptist,WAC,127,129,-7.61,0,1,0,1,2,2,19,6,Cal Baptist,WAC,122,.6447,1,1
cal-poly,Cal Poly,Big West,Cal Poly,Big West,338,344,-21.71,0,3,0,2,0,3,2,18,Cal Poly,BW,322,.0679,1,1
cal-state-bakersfield,Cal St. Bakersfield,Big West,Cal St. Bakersfield,Big West,306,338,-21.19,0,0,0,2,0,4,6,17,Cal St. Bakersfield,BW,297,.1158,1,1
cal-state-fullerton,Cal St. Fullerton,Big West,Cal St. Fullerton,Big West,193,205,-11.50,0,0,0,1,0,3,16,9,Cal St. Fullerton,BW,192,.3874,1,1
cal-state-northridge,Cal St. Northridge,Big West,Cal St. Northridge,Big West,275,305,-17.93,0,0,0,2,0,6,8,12,Cal St. Northridge,BW,273,.1753,1,1
california,California,ACC,California,ACC,52,68,-2.64,1,8,3,4,2,2,13,0,California,ACC,47,.9287,1,1
campbell,Campbell,CAA,Campbell,CAA,210,169,-9.52,0,0,0,1,1,1,17,9,Campbell,CAA,226,.3137,1,1
canisius,Canisius,MAAC,Canisius,MAAC,341,333,-20.77,0,2,0,2,0,3,5,17,Canisius,MAAC,344,.0341,1,1
central-arkansas,Central Arkansas,ASUN,Central Arkansas,ASUN,106,161,-9.08,0,0,0,1,1,3,18,7,Central Arkansas,ASun,114,.6752,1,1
central-connecticut,Central Connecticut,NEC,Central Connecticut,NEC,361,360,-25.31,0,1,0,0,0,2,2,24,Central Connecticut,NEC,358,.0092,1,1
central-michigan,Central Michigan,MAC,Central Michigan,MAC,116,124,-7.33,0,3,0,2,1,2,16,5,Central Michigan,MAC,142,.5819,1,1
charleston,Charleston,CAA,Charleston,CAA,104,79,-3.48,0,0,0,1,2,0,20,4,Charleston,CAA,126,.6230,1,1
charleston-southern,Charleston Southern,Big South,Charleston Southern,Big South,331,314,-18.66,0,2,0,2,0,3,7,15,Charleston Southern,BSth,345,.0341,1,1
charlotte,Charlotte,American,Charlotte,American,169,221,-12.82,0,3,0,3,1,3,13,9,Charlotte,Amer,159,.5250,1,1
chattanooga,Chattanooga,SoCon,Chattanooga,SoCon,208,153,-8.72,0,0,0,2,0,0,18,8,Chattanooga,SC,217,.3306,1,1
chicago-state,Chicago St.,NEC,Chicago St.,NEC,346,329,-20.64,0,1,0,1,0,2,9,19,Chicago St.,NEC,343,.0347,1,1
cincinnati,Cincinnati,Big 12,Cincinnati,Big 12,109,168,-9.49,0,4,3,9,0,3,7,4,Cincinnati,B12,93,.7701,1,1
clemson,Clemson,ACC,Clemson,ACC,42,36,1.36,3,10,3,1,1,0,14,0,Clemson,ACC,49,.9239,1,1
cleveland-state,Cleveland St.,Horizon,Cleveland St.,Horizon,149,131,-7.67,0,0,0,0,1,1,21,8,Cleveland St.,Horz,149,.5662,1,1
coastal-carolina,Coastal Carolina,Sun Belt,Coastal Carolina,Sun Belt,145,229,-13.21,0,3,0,3,0,5,12,7,Coastal Carolina,SB,154,.5480,1,1
colgate,Colgate,Patriot,Colgate,Patriot,321,345,-21.76,0,1,0,1,0,4,6,18,Colgate,Pat,327,.0574,1,1
colorado,Colorado,Big 12,Colorado,Big 12,46,42,0.84,2,5,6,3,3,2,11,1,Colorado,B12,36,.9620,1,1
colorado-state,Colorado St.,Mountain West,Colorado St.,Mountain West,70,81,-3.55,0,0,1,2,3,4,22,1,Colorado St.,MWC,70,.8548,1,1
columbia,Columbia,Ivy League,Columbia,Ivy League,58,59,-1.83,1,1,4,2,0,3,15,1,Columbia,Ivy,58,.8919,1,1
coppin-state,Coppin St.,MEAC,Coppin St.,MEAC,295,275,-16.32,0,5,0,1,0,1,7,15,Coppin St.,MEAC,294,.1240,1,1
cornell,Cornell,Ivy League,Cornell,Ivy League,296,242,-14.26,0,2,1,2,1,3,6,11,Cornell,Ivy,279,.1649,1,1
creighton,Creighton,Big East,Creighton,Big East,90,114,-6.32,0,5,1,4,3,3,12,3,Creighton,BE,68,.8612,1,1
dartmouth,Dartmouth,Ivy League,Dartmouth,Ivy League,322,236,-13.77,0,1,0,3,0,4,7,9,Dartmouth,Ivy,317,.0734,1,1
davidson,Davidson,Atlantic 10,Davidson,Atlantic 10,72,107,-5.89,0,4,0,4,3,2,18,2,Davidson,A10,84,.8105,1,1
dayton,Dayton,Atlantic 10,Dayton,Atlantic 10,166,180,-10.06,0,0,1,6,1,1,15,7,Dayton,A10,172,.4778,1,1
delaware,Delaware,CUSA,Delaware,CUSA,238,283,-16.99,0,0,0,1,0,4,12,14,Delaware,CUSA,251,.2344,1,1
delaware-state,Delaware St.,MEAC,Delaware St.,MEAC,344,337,-21.12,0,1,0,0,0,1,4,21,Delaware St.,MEAC,340,.0363,1,1
denver,Denver,Summit League,Denver,Summit League,287,264,-15.38,0,1,0,4,0,3,8,11,Denver,Sum,275,.1721,1,1
depaul,DePaul,Big East,DePaul,Big East,203,273,-16.20,0,5,0,3,2,5,6,11,DePaul,BE,160,.5215,1,1
detroit-mercy,Detroit Mercy,Horizon,Detroit Mercy,Horizon,303,327,-20.37,0,1,0,0,0,3,7,19,Detroit Mercy,Horz,306,.0919,1,1
drake,Drake,MVC,Drake,MVC,213,252,-14.80,0,2,0,1,0,6,11,10,Drake,MVC,207,.3635,1,1
drexel,Drexel,CAA,Drexel,CAA,165,137,-7.85,0,0,0,0,0,3,19,6,Drexel,CAA,169,.4925,1,1
duke,Duke,ACC,Duke,ACC,8,10,8.00,9,7,5,1,2,0,8,0,Duke,ACC,7,.9938,1,1
duquesne,Duquesne,Atlantic 10,Duquesne,Atlantic 10,242,269,-15.91,0,1,0,2,1,4,9,12,Duquesne,A10,235,.2829,1,1
east-carolina,East Carolina,American,East Carolina,American,112,120,-6.79,0,0,0,1,1,2,21,6,East Carolina,Amer,125,.6299,1,1
east-tennessee-state,East Tennessee St.,SoCon,East Tennessee St.,SoCon,247,182,-10.21,0,3,0,0,0,0,16,10,East Tennessee St.,SC,248,.2428,1,1
east-texas-a-and-m,East Texas A&M,Southland,East Texas A&M,Southland,289,244,-14.39,0,2,0,0,0,2,11,13,East Texas A&M,Slnd,292,.1253,1,1
eastern-illinois,Eastern Illinois,OVC,Eastern Illinois,OVC,317,352,-22.90,0,2,0,2,0,5,4,18,Eastern Illinois,OVC,310,.0863,1,1
e-kentucky,Eastern Kentucky,ASUN,Eastern Kentucky,ASUN,110,108,-5.92,0,1,0,0,1,1,21,6,Eastern Kentucky,ASun,121,.6589,1,1
eastern-michigan,Eastern Michigan,MAC,Eastern Michigan,MAC,196,216,-12.52,0,1,0,3,0,4,12,8,Eastern Michigan,MAC,219,.3295,1,1
eastern-washington,Eastern Washington,Big Sky,Eastern Washington,Big Sky,209,256,-15.03,0,0,0,3,1,5,12,10,Eastern Washington,BSky,200,.3733,1,1
elon,Elon,CAA,Elon,CAA,212,226,-12.99,0,1,0,0,0,3,14,11,Elon,CAA,224,.3161,1,1
evansville,Evansville,MVC,Evansville,MVC,277,336,-21.10,0,1,0,1,1,3,6,19,Evansville,MVC,269,.1958,1,1
fairfield,Fairfield,MAAC,Fairfield,MAAC,53,45,0.30,2,2,0,0,3,1,23,1,Fairfield,MAAC,61,.8873,1,1
fdu,FDU,NEC,FDU,NEC,132,67,-2.58,0,1,0,1,0,0,26,2,Fairleigh Dickinson,NEC,134,.6076,1,1
fiu,FIU,CUSA,FIU,CUSA,174,141,-8.14,0,0,0,2,0,2,19,6,FIU,CUSA,167,.4964,1,1
florida,Florida,SEC,Florida,SEC,48,62,-2.22,2,10,1,1,3,3,12,1,Florida,SEC,38,.9531,1,1
florida-a-and-m,Florida A&M,SWAC,Florida A&M,SWAC,339,325,-20.33,0,0,0,2,0,1,8,19,Florida A&M,SWAC,341,.0361,1,1
florida-atlantic,Florida Atlantic,American,Florida Atlantic,American,239,251,-14.78,0,0,0,3,1,5,12,10,Florida Atlantic,Amer,241,.2688,1,1
florida-gulf-coast,Florida Gulf Coast,ASUN,Florida Gulf Coast,ASUN,159,197,-10.93,0,1,1,2,1,4,12,8,Florida Gulf Coast,ASun,157,.5298,1,1
florida-state,Florida St.,ACC,Florida St.,ACC,108,144,-8.38,0,9,0,9,3,2,7,1,Florida St.,ACC,98,.7518,1,1
fordham,Fordham,Atlantic 10,Fordham,Atlantic 10,259,279,-16.55,0,1,0,5,0,2,9,12,Fordham,A10,254,.2273,1,1
fresno-state,Fresno St.,Mountain West,Fresno St.,Mountain West,175,239,-14.15,0,1,0,4,0,6,14,7,Fresno St.,MWC,155,.5463,1,1
furman,Furman,SoCon,Furman,SoCon,246,173,-9.72,0,2,0,3,0,0,14,8,Furman,SC,265,.2038,1,1
gardner-webb,Gardner Webb,Big South,Gardner Webb,Big South,328,298,-17.73,0,1,0,0,0,1,12,17,Gardner Webb,BSth,332,.0483,1,1
george-mason,George Mason,Atlantic 10,George Mason,Atlantic 10,60,61,-2.12,1,3,3,3,2,1,17,2,George Mason,A10,63,.8835,1,1
george-washington,George Washington,Atlantic 10,George Washington,Atlantic 10,173,225,-12.98,0,0,1,5,0,3,13,9,George Washington,A10,176,.4635,1,1
georgetown,Georgetown,Big East,Georgetown,Big East,95,160,-8.87,0,5,1,3,3,3,10,6,Georgetown,BE,75,.8353,1,1
georgia,Georgia,SEC,Georgia,SEC,34,25,3.15,3,8,2,1,6,0,11,0,Georgia,SEC,31,.9719,1,1
georgia-southern,Georgia Southern,Sun Belt,Georgia Southern,Sun Belt,75,66,-2.56,0,2,2,2,1,2,19,1,Georgia Southern,SB,78,.8279,1,1
georgia-state,Georgia St.,Sun Belt,Georgia St.,Sun Belt,232,281,-16.74,0,2,1,3,0,3,7,13,Georgia St.,SB,249,.2395,1,1
georgia-tech,Georgia Tech,ACC,Georgia Tech,ACC,74,109,-5.97,1,9,2,6,2,2,9,1,Georgia Tech,ACC,60,.8898,1,1
gonzaga,Gonzaga,WCC,Gonzaga,WCC,63,87,-4.15,0,0,1,5,5,4,18,0,Gonzaga,WCC,62,.8845,1,1
grambling-state,Grambling St.,SWAC,Grambling St.,SWAC,301,271,-15.95,0,1,0,1,0,3,10,13,Grambling St.,SWAC,309,.0866,1,1
grand-canyon,Grand Canyon,Mountain West,Grand Canyon,Mountain West,135,234,-13.75,0,2,0,4,3,4,10,9,Grand Canyon,MWC,133,.6098,1,1
green-bay,Green Bay,Horizon,Green Bay,Horizon,97,88,-4.15,0,2,1,2,0,1,23,3,Green Bay,Horz,88,.7870,1,1
hampton,Hampton,CAA,Hampton,CAA,312,315,-19.05,0,0,0,0,0,2,7,18,Hampton,CAA,328,.0559,1,1
harvard,Harvard,Ivy League,Harvard,Ivy League,65,97,-4.70,0,3,1,2,2,3,14,2,Harvard,Ivy,67,.8652,1,1
hawaii,Hawaii,Big West,Hawaii,Big West,117,140,-8.06,0,0,0,1,1,4,17,5,Hawaii,BW,112,.6925,1,1
high-point,High Point,Big South,High Point,Big South,143,86,-4.04,0,0,0,1,2,0,23,4,High Point,BSth,165,.5078,1,1
hofstra,Hofstra,CAA,Hofstra,CAA,282,299,-17.75,0,2,0,1,0,2,7,16,Hofstra,CAA,286,.1436,1,1
holy-cross,Holy Cross,Patriot,Holy Cross,Patriot,154,112,-6.18,0,1,0,2,2,1,19,5,Holy Cross,Pat,166,.5046,1,1
houston,Houston,Big 12,Houston,Big 12,177,217,-12.58,0,6,0,8,0,6,7,3,Houston,B12,164,.5078,1,1
houston-christian,Houston Christian,Southland,Houston Christian,Southland,311,309,-18.33,0,1,0,2,0,2,6,16,Houston Christian,Slnd,313,.0763,1,1
howard,Howard,MEAC,Howard,MEAC,155,90,-4.28,0,2,1,1,1,1,22,3,Howard,MEAC,186,.4315,1,1
idaho,Idaho,Big Sky,Idaho,Big Sky,99,73,-2.96,0,0,0,2,3,0,24,3,Idaho,BSky,89,.7848,1,1
idaho-state,Idaho St.,Big Sky,Idaho St.,Big Sky,130,151,-8.67,0,0,0,2,2,1,16,8,Idaho St.,BSky,144,.5798,1,1
illinois,Illinois,Big Ten,Illinois,Big Ten,30,30,2.47,3,10,2,0,5,1,11,0,Illinois,B10,32,.9716,1,1
illinois-chicago,Illinois Chicago,MVC,Illinois Chicago,MVC,200,246,-14.53,0,0,1,1,0,4,13,12,Illinois Chicago,MVC,189,.4055,1,1
illinois-state,Illinois St.,MVC,Illinois St.,MVC,151,150,-8.66,0,2,0,1,0,3,19,6,Illinois St.,MVC,158,.5291,1,1
incarnate-word,Incarnate Word,Southland,Incarnate Word,Southland,273,232,-13.66,0,2,0,1,0,3,11,11,Incarnate Word,Slnd,278,.1651,1,1
indiana,Indiana,Big Ten,Indiana,Big Ten,55,47,0.01,2,12,1,2,3,0,12,0,Indiana,B10,46,.9318,1,1
indiana-state,Indiana St.,MVC,Indiana St.,MVC,304,312,-18.53,0,1,0,0,0,3,8,17,Indiana St.,MVC,281,.1566,1,1
iona,Iona,MAAC,Iona,MAAC,270,184,-10.26,0,0,0,2,1,3,18,7,Iona,MAAC,282,.1540,1,1
iowa,Iowa,Big Ten,Iowa,Big Ten,10,5,11.01,9,6,7,0,3,0,7,0,Iowa,B10,10,.9909,1,1
iowa-state,Iowa St.,Big 12,Iowa St.,Big 12,33,40,0.89,2,3,6,5,1,1,13,0,Iowa St.,B12,34,.9670,1,1
iu-indy,IU Indy,Horizon,IU Indy,Horizon,255,257,-15.05,0,0,0,0,0,4,12,13,IU Indy,Horz,250,.2366,1,1
jackson-state,Jackson St.,SWAC,Jackson St.,SWAC,315,249,-14.72,0,3,0,1,0,2,11,12,Jackson St.,SWAC,337,.0434,1,1
jacksonville,Jacksonville,ASUN,Jacksonville,ASUN,136,93,-4.46,0,2,1,1,0,1,21,4,Jacksonville,ASun,146,.5704,1,1
jacksonville-state,Jacksonville St.,CUSA,Jacksonville St.,CUSA,219,238,-13.99,0,1,0,1,0,2,13,12,Jacksonville St.,CUSA,218,.3297,1,1
james-madison,James Madison,Sun Belt,James Madison,Sun Belt,45,64,-2.31,0,2,1,2,6,3,19,1,James Madison,SB,43,.9376,1,1
kansas,Kansas,Big 12,Kansas,Big 12,50,58,-1.79,1,7,3,4,4,1,10,1,Kansas,B12,48,.9272,1,1
kansas-state,Kansas State,Big 12,Kansas State,Big 12,54,74,-2.98,4,6,3,5,3,5,8,1,Kansas St.,B12,52,.9136,1,1
kennesaw-state,Kennesaw St.,CUSA,Kennesaw St.,CUSA,249,245,-14.53,0,1,0,2,0,2,10,12,Kennesaw St.,CUSA,260,.2192,1,1
kent-state,Kent St.,MAC,Kent St.,MAC,164,201,-11.31,0,3,0,1,0,7,13,5,Kent St.,MAC,179,.4543,1,1
kentucky,Kentucky,SEC,Kentucky,SEC,16,19,4.97,5,9,2,1,8,0,8,0,Kentucky,SEC,17,.9883,1,1
la-salle,La Salle,Atlantic 10,La Salle,Atlantic 10,163,156,-8.78,0,1,1,4,0,3,16,5,La Salle,A10,150,.5637,1,1
la-tech,La. Tech,CUSA,La. Tech,CUSA,76,60,-2.12,0,2,0,0,1,1,22,2,Louisiana Tech,CUSA,85,.8078,1,1
lafayette,Lafayette,Patriot,Lafayette,Patriot,283,288,-17.18,0,1,0,0,0,3,11,15,Lafayette,Pat,291,.1263,1,1
lamar,Lamar,Southland,Lamar,Southland,180,139,-8.01,0,0,0,2,0,2,19,6,Lamar,Slnd,206,.3681,1,1
le-moyne,Le Moyne,NEC,Le Moyne,NEC,352,289,-17.34,0,2,0,1,0,2,11,15,Le Moyne,NEC,351,.0248,1,1
lehigh,Lehigh,Patriot,Lehigh,Patriot,195,195,-10.87,0,1,0,1,2,1,14,10,Lehigh,Pat,191,.3902,1,1
liberty,Liberty,CUSA,Liberty,CUSA,153,146,-8.50,0,2,1,1,1,2,13,7,Liberty,CUSA,138,.5935,1,1
lindenwood,Lindenwood,OVC,Lindenwood,OVC,94,95,-4.57,0,2,0,0,4,3,19,3,Lindenwood,OVC,103,.7300,1,1
lipscomb,Lipscomb,ASUN,Lipscomb,ASUN,261,304,-17.89,0,0,0,2,0,3,8,15,Lipscomb,ASun,264,.2045,1,1
little-rock,Little Rock,OVC,Little Rock,OVC,237,222,-12.82,0,1,0,1,0,6,13,8,Little Rock,OVC,242,.2623,1,1
liu,LIU,NEC,LIU,NEC,274,164,-9.29,0,0,0,1,0,0,18,9,LIU,NEC,274,.1752,1,1
long-beach-state,Long Beach St.,Big West,Long Beach St.,Big West,327,346,-21.91,0,1,0,2,0,4,4,18,Long Beach St.,BW,318,.0712,1,1
longwood,Longwood,Big South,Longwood,Big South,224,135,-7.80,0,2,0,0,0,2,18,6,Longwood,BSth,257,.2245,1,1
louisiana,Louisiana,Sun Belt,Louisiana,Sun Belt,318,342,-21.58,0,2,0,1,0,3,4,19,Louisiana,SB,314,.0757,1,1
louisiana-monroe,Louisiana Monroe,Sun Belt,Louisiana Monroe,Sun Belt,150,206,-11.53,0,2,0,4,1,3,15,7,Louisiana Monroe,SB,161,.5187,1,1
louisville,Louisville,ACC,Louisville,ACC,11,11,7.84,8,6,6,1,1,0,12,0,Louisville,ACC,11,.9907,1,1
loyola-chicago,Loyola Chicago,Atlantic 10,Loyola Chicago,Atlantic 10,198,219,-12.63,0,2,0,3,0,3,14,9,Loyola Chicago,A10,213,.3419,1,1
loyola-marymount,Loyola Marymount,WCC,Loyola Marymount,WCC,111,116,-6.66,0,0,0,1,5,2,15,6,Loyola Marymount,WCC,96,.7607,1,1
loyola-md,Loyola MD,Patriot,Loyola MD,Patriot,272,265,-15.48,0,2,0,0,0,2,12,14,Loyola MD,Pat,289,.1290,1,1
lsu,LSU,SEC,LSU,SEC,5,9,8.83,8,5,4,0,3,0,12,0,LSU,SEC,5,.9978,1,1
maine,Maine,America East,Maine,America East,142,143,-8.34,0,1,1,2,2,3,16,6,Maine,AE,173,.4738,1,1
manhattan,Manhattan,MAAC,Manhattan,MAAC,290,280,-16.58,0,1,0,3,0,5,11,11,Manhattan,MAAC,290,.1274,1,1
marist,Marist,MAAC,Marist,MAAC,302,287,-17.17,0,1,0,2,0,3,11,14,Marist,MAAC,308,.0873,1,1
marquette,Marquette,Big East,Marquette,Big East,68,92,-4.38,0,5,1,2,4,3,12,2,Marquette,BE,57,.8943,1,1
marshall,Marshall,Sun Belt,Marshall,Sun Belt,103,99,-4.87,0,2,1,2,2,2,18,3,Marshall,SB,123,.6444,1,1
maryland,Maryland,Big Ten,Maryland,Big Ten,14,17,5.41,6,7,2,1,3,0,12,0,Maryland,B10,12,.9895,1,1
maryland-eastern-shore,Maryland Eastern Shore,MEAC,Maryland Eastern Shore,MEAC,252,178,-9.92,0,2,0,1,0,1,17,9,Maryland Eastern Shore,MEAC,255,.2269,1,1
massachusetts,Massachusetts,MAC,Massachusetts,MAC,98,94,-4.52,0,0,0,3,3,1,20,3,Massachusetts,MAC,100,.7453,1,1
mcneese-state,McNeese St,Southland,McNeese St,Southland,81,55,-1.20,0,2,0,1,1,0,25,1,McNeese St.,Slnd,92,.7744,1,1
memphis,Memphis,American,Memphis,American,217,297,-17.53,0,1,0,1,0,7,9,12,Memphis,Amer,219,.3295,1,1
mercer,Mercer,SoCon,Mercer,SoCon,265,209,-11.75,0,0,0,2,0,1,15,10,Mercer,SC,276,.1716,1,1
mercyhurst,Mercyhurst,NEC,Mercyhurst,NEC,329,204,-11.44,0,4,0,0,0,0,15,11,Mercyhurst,NEC,324,.0645,1,1
merrimack,Merrimack,MAAC,Merrimack,MAAC,230,175,-9.82,0,0,0,3,0,2,18,7,Merrimack,MAAC,240,.2706,1,1
miami-fl,Miami (FL),ACC,Miami (FL),ACC,57,63,-2.25,1,10,3,3,2,1,11,0,Miami FL,ACC,65,.8795,1,1
miami-oh,Miami (OH),MAC,Miami (OH),MAC,78,77,-3.07,0,0,1,2,3,1,20,3,Miami OH,MAC,80,.8157,1,1
michigan,Michigan,Big Ten,Michigan,Big Ten,6,6,10.13,9,6,4,0,4,0,8,0,Michigan,B10,6,.9953,1,1
michigan-state,Michigan St.,Big Ten,Michigan St.,Big Ten,17,16,5.52,5,7,5,0,1,1,11,0,Michigan St.,B10,22,.9822,1,1
middle-tennessee,Middle Tennessee,CUSA,Middle Tennessee,CUSA,161,196,-10.91,0,1,0,3,0,3,16,7,Middle Tennessee,CUSA,162,.5161,1,1
milwaukee,Milwaukee,Horizon,Milwaukee,Horizon,309,349,-22.28,0,0,0,0,0,3,6,21,Milwaukee,Horz,303,.0967,1,1
minnesota,Minnesota,Big Ten,Minnesota,Big Ten,9,18,5.13,5,7,2,1,6,0,9,0,Minnesota,B10,8,.9916,1,1
mississippi-state,Mississippi St.,SEC,Mississippi St.,SEC,43,53,-0.85,2,9,1,3,3,1,12,0,Mississippi St.,SEC,41,.9426,1,1
mississippi-valley-state,Mississippi Valley St.,SWAC,Mississippi Valley St.,SWAC,353,320,-19.87,0,3,0,1,0,1,8,18,Mississippi Valley St.,SWAC,356,.0153,1,1
missouri,Missouri,SEC,Missouri,SEC,84,76,-3.05,1,9,1,5,2,2,12,0,Missouri,SEC,72,.8370,1,1
missouri-state,Missouri St.,CUSA,Missouri St.,CUSA,121,171,-9.67,0,0,0,2,1,2,18,8,Missouri St.,CUSA,136,.6020,1,1
monmouth,Monmouth,CAA,Monmouth,CAA,199,145,-8.41,0,1,0,0,0,0,16,9,Monmouth,CAA,221,.3245,1,1
montana,Montana,Big Sky,Montana,Big Sky,269,293,-17.43,0,2,0,2,1,6,7,12,Montana,BSky,266,.2035,1,1
montana-state,Montana St.,Big Sky,Montana St.,Big Sky,69,78,-3.18,0,1,1,2,1,4,21,0,Montana St.,BSky,66,.8655,1,1
morehead-state,Morehead St.,OVC,Morehead St.,OVC,194,174,-9.77,0,3,0,0,2,2,15,9,Morehead St.,OVC,188,.4127,1,1
morgan-state,Morgan St.,MEAC,Morgan St.,MEAC,350,323,-20.16,0,3,0,2,0,0,4,19,Morgan St.,MEAC,347,.0318,1,1
mount-state-mary-s,Mount St. Mary's,MAAC,Mount St. Mary's,MAAC,281,215,-12.52,0,2,0,1,0,2,15,10,Mount St. Mary's,MAAC,300,.1068,1,1
murray-state,Murray St.,MVC,Murray St.,MVC,91,48,-0.01,0,2,1,0,2,1,24,0,Murray St.,MVC,105,.7244,1,1
n-dakota-state,N Dakota St,Summit League,N Dakota St,Summit League,47,49,-0.48,1,1,0,2,4,1,21,0,North Dakota St.,Sum,64,.8814,1,1
