canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
abilene-christian,Abilene Christian,WAC,Abilene Christian,WAC,107,123,-7.16,0,1,0,0,2,0,17,8,Abilene Christian,WAC,107,.7071,1,1
air-force,Air Force,Mountain West,Air Force,Mountain West,214,250,-14.77,0,0,0,2,1,9,14,7,Air Force,MWC,197,.3802,1,1
akron,Akron,MAC,Akron,MAC,291,322,-19.98,0,2,0,2,0,4,5,16,Akron,MAC,288,.1337,1,1
alabama,Alabama,SEC,Alabama,SEC,27,20,4.69,5,8,4,1,4,1,10,0,Alabama,SEC,29,.9729,1,1
alabama-a-and-m,Alabama A&M,SWAC,Alabama A&M,SWAC,205,104,-5.44,0,3,0,1,0,1,19,4,Alabama A&M,SWAC,232,.2955,1,1
alabama-state,Alabama St.,SWAC,Alabama St.,SWAC,299,148,-8.55,0,5,0,0,0,1,13,7,Alabama St.,SWAC,319,.0709,1,1
albany,Albany,America East,Albany,America East,189,218,-12.59,0,2,0,1,0,3,13,10,Albany,AE,205,.3696,1,1
alcorn-state,Alcorn St.,SWAC,Alcorn St.,SWAC,307,167,-9.38,0,3,0,1,0,1,14,8,Alcorn St.,SWAC,323,.0668,1,1
american,American,Patriot,American,Patriot,319,341,-21.36,0,1,0,0,0,2,7,20,American,Pat,325,.0587,1,1
appalachian-state,Appalachian St.,Sun Belt,Appalachian St.,Sun Belt,192,247,-14.63,0,3,0,3,0,3,9,10,Appalachian St.,SB,199,.3756,1,1
arizona,Arizona,Big 12,Arizona,Big 12,120,155,-8.77,0,5,1,8,2,2,9,3,Arizona,B12,108,.7044,1,1
arizona-state,Arizona St,Big 12,Arizona St,Big 12,51,41,0.84,1,6,6,2,5,2,12,0,Arizona St.,B12,44,.9340,1,1
arkansas,Arkansas,SEC,Arkansas,SEC,105,122,-7.03,0,11,0,4,3,3,9,2,Arkansas,SEC,102,.7390,1,1
arkansas-pine-bluff,Arkansas Pine Bluff,SWAC,Arkansas Pine Bluff,SWAC,323,227,-13.03,0,1,0,1,0,2,14,11,Arkansas Pine Bluff,SWAC,339,.0410,1,1
arkansas-state,Arkansas St.,Sun Belt,Arkansas St.,Sun Belt,92,105,-5.82,0,0,1,2,1,6,21,1,Arkansas St.,SB,101,.7451,1,1
army-west-point,Army West Point,Patriot,Army West Point,Patriot,115,91,-4.34,0,1,0,0,0,2,23,3,Army,Pat,148,.5672,1,1
auburn,Auburn,SEC,Auburn,SEC,88,75,-2.98,0,12,4,4,1,1,10,0,Auburn,SEC,86,.8012,1,1
austin-peay,Austin Peay,ASUN,Austin Peay,ASUN,157,192,-10.70,0,1,0,0,0,2,17,10,Austin Peay,ASun,163,.5127,1,1
ball-state,Ball St.,MAC,Ball St.,MAC,67,65,-2.37,0,2,0,2,3,1,22,1,Ball St.,MAC,81,.8140,1,1
