source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,scraped_at_iso,status,error_message,row_count
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 13, 2026",2026-03-13T00:00:00+00:00,2026-03-14T16:49:35+00:00,ok,,76
espn,ESPN,https://www.espn.com/espn/feature/story/_/id/30423107/ncaa-women-bracketology-2026-women-college-basketball-projections,"3/13/26, 11:00pm ET",2026-03-13T23:00:00+00:00,2026-03-14T16:49:35+00:00,ok,,76
ncaa,NCAA,https://www.ncaa.com/news/basketball-women/article/2026-03-10/2026-march-madness-womens-basketball-bracket-predictions-days-selection-sunday,2026-03-10,2026-03-10T00:00:00+00:00,2026-03-14T16:49:35+00:00,ok,,68
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,3/11/2026,2026-03-11T00:00:00+00:00,2026-03-14T16:49:35+00:00,ok,,68
the_ix,The IX,https://www.theixsports.com/category/the-ix-basketball-newsroom/ncaa-basketball/bracketology/,"March 14, 2026",2026-03-14T00:00:00+00:00,2026-03-14T16:49:35+00:00,ok,,72
cbssports,CBS Sports,https://www.cbssports.com/womens-college-basketball/,,,2026-03-14T16:49:35+00:00,error,406 Client Error: Not Acceptable for url: https://www.cbssports.com/womens-college-basketball/,0
usatoday,USA Today,https://www.usatoday.com/sports/ncaaw/ncaa-womens-basketball-tournament/,,,2026-03-14T16:49:35+00:00,error,406 Client Error: Not Acceptable for url: https://www.usatoday.com/sports/ncaaw/ncaa-womens-basketball-tournament/,0
the_athletic,The Athletic,https://www.nytimes.com/athletic/tag/bracketcentral/,3/13/2026,2026-03-13T00:00:00+00:00,2026-03-14T16:49:35+00:00,ok,,76
