canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,her_hoop_stats,espn,college_sports_madness,the_ix,cbssports
south-carolina,South Carolina,,,4,1,1,1,1,,1
texas,Texas,,,4,1,1,1,1,,1
ucla,UCLA,,,4,1,1,1,1,,1
uconn,UConn,,,4,1,1,1,1,,1
iowa,Iowa,,,4,2,2,2,2,,2
lsu,LSU,,,4,2,2,2,2,,2
vanderbilt,Vanderbilt,,,4,2,2,2,2,,2
duke,Duke,,,4,2.5,2,2,3,,3
michigan,Michigan,,,4,2.5,3,3,2,,2
louisville,Louisville,,,4,3,3,3,3,,3
tcu,TCU,,,4,3,3,3,3,,3
ohio-state,Ohio St.,,,4,3.25,3,3,4,,3
oklahoma,Oklahoma,,,4,3.75,4,4,3,,4
minnesota,Minnesota,,,4,4,4,4,4,,4
maryland,Maryland,,,4,4.25,4,4,5,,4
west-virginia,West Virginia,,,4,4.25,4,4,4,,5
north-carolina,North Carolina,,,4,4.5,5,5,4,,4
kentucky,Kentucky,,,4,5,5,5,5,,5
michigan-state,Michigan St,,,4,5,5,5,5,,5
ole-miss,Ole Miss,,,4,5.5,5,5,6,,6
baylor,Baylor,,,4,5.75,6,6,5,,6
notre-dame,Notre Dame,,,4,5.75,6,6,6,,5
alabama,Alabama,,,4,6.5,6,6,8,,6
texas-tech,Texas Tech,,,4,6.5,7,6,6,,7
north-carolina-state,NC State,,,4,6.75,6,8,6,,7
washington,Washington,,,4,6.75,7,7,7,,6
georgia,Georgia,,,4,7,7,7,7,,7
oregon,Oregon,,,4,7.75,8,7,9,,7
tennessee,Tennessee,,,4,7.75,8,8,7,,8
illinois,Illinois,,,4,8,7,7,10,,8
iowa-state,Iowa St.,,,4,8.5,9,9,7,,9
oklahoma-state,Oklahoma St,,,4,8.5,9,8,8,,9
usc,USC,,,4,8.5,9,9,8,,8
virginia-tech,Virginia Tech,,,4,8.5,8,9,8,,9
villanova,Villanova,,,4,8.75,8,8,9,,10
syracuse,Syracuse,,,4,9.25,10,9,10,,8
princeton,Princeton,,,4,9.5,9,10,10,,9
clemson,Clemson,,,4,9.75,10,10,9,,10
colorado,Colorado,,,4,10.25,10,10,11,,10
south-dakota-state,South Dakota St,,,3,10.333,11,10,,,10
rhode-island,Rhode Island,,,4,10.5,10,11,10,,11
nebraska,Nebraska,,,3,10.667,11,11,,,10
virginia,Virginia,,,3,10.667,11,12,9,,
arizona-state,Arizona St,,,4,11,11,12,11,,10
fairfield,Fairfield,,,4,11,11,11,11,,11
columbia,Columbia,,,2,11,,,11,,11
richmond,Richmond,,,2,11,11,11,,,
stanford,Stanford,,,1,11,,,11,,
rice,Rice,,,3,11.333,,11,11,,12
n-dakota-state,N Dakota St,,,2,11.5,,,12,,11
georgia-southern,Georgia Southern,,,2,12,,,12,,12
san-diego-state,San Diego St.,,,2,12,,,12,,12
ball-state,Ball St.,,,1,12,12,,,,
gonzaga,Gonzaga,,,1,12,12,,,,
james-madison,James Madison,,,1,12,12,,,,
montana-state,Montana St.,,,1,12,12,,,,
murray-state,Murray St,,,4,12.5,14,12,12,,12
miami-oh,Miami (OH),,,3,12.667,,12,13,,13
louisiana-tech,Louisiana Tech,,,3,13,13,13,13,,
colorado-state,Colorado St.,,,1,13,13,,,,
la-tech,La. Tech,,,1,13,,,,,13
south-fla,South Fla.,,,1,13,13,,,,
troy,Troy,,,1,13,,13,,,
unlv,UNLV,,,1,13,,13,,,
uc-irvine,UC Irvine,,,4,13.5,13,13,14,,14
green-bay,Green Bay,,,4,13.75,15,12,13,,15
mcneese-state,McNeese St,,,4,13.75,14,14,14,,13
vermont,Vermont,,,4,13.75,14,14,13,,14
charleston,Charleston,,,4,14,15,14,14,,13
western-illinois,Western Illinois,,,4,14.25,14,15,14,,14
idaho,Idaho,,,3,14.333,,14,15,,14
loyola-marymount,Loyola Marymount,,,3,15,,15,15,,15
navy,Navy,,,3,15,,15,15,,15
abilene-christian,Abilene Christian,,,1,15,15,,,,
e-kentucky,Eastern Kentucky,,,1,15,,,15,,
jacksonville,Jacksonville,,,3,15.333,15,15,,,16
fdu,FDU,,,4,15.75,16,16,16,,15
alabama-a-and-m,Alabama A&M,,,4,16,16,16,16,,16
high-point,High Point,,,4,16,16,16,16,,16
howard,Howard,,,4,16,16,16,16,,16
ca-baptist,CA Baptist,,,3,16,,16,16,,16
chattanooga,Chattanooga,,,2,16,,,16,,16
samford,Samford,,,2,16,16,16,,,
army-west-point,Army West Point,,,1,16,16,,,,
