source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,scraped_at_iso,status,error_message,row_count
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 9, 2026",2026-03-09T00:00:00+00:00,2026-03-10T09:02:40+00:00,ok,,76
espn,ESPN,https://www.espn.com/espn/feature/story/_/id/30423107/ncaa-women-bracketology-2026-women-college-basketball-projections,"3/10/26, 12:45am ET",2026-03-10T00:45:00+00:00,2026-03-10T09:02:40+00:00,ok,,76
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,3/5/2026,2026-03-05T00:00:00+00:00,2026-03-10T09:02:40+00:00,ok,,68
the_ix,The IX,https://www.theixsports.com/category/the-ix-basketball-newsroom/ncaa-basketball/bracketology/,"March 9, 2026",2026-03-09T00:00:00+00:00,2026-03-10T09:02:40+00:00,ok,,77
cbssports,CBS Sports,https://www.cbssports.com/womens-college-basketball/,,,2026-03-10T09:02:40+00:00,error,406 Client Error: Not Acceptable for url: https://www.cbssports.com/womens-college-basketball/,0
usatoday,USA Today,https://www.usatoday.com/sports/ncaaw/ncaa-womens-basketball-tournament/,,,2026-03-10T09:02:40+00:00,error,406 Client Error: Not Acceptable for url: https://www.usatoday.com/sports/ncaaw/ncaa-womens-basketball-tournament/,0
the_athletic,The Athletic,https://www.nytimes.com/athletic/tag/bracketcentral/,3/6/2026,2026-03-06T00:00:00+00:00,2026-03-10T09:02:40+00:00,ok,,71
