team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Abilene Christian,WAC,107,123,-7.16,0,1,0,0,2,0,17,8
Air Force,Mountain West,214,250,-14.77,0,0,0,2,1,9,14,7
Akron,MAC,291,322,-19.98,0,2,0,2,0,4,5,16
Alabama,SEC,27,20,4.69,5,8,4,1,4,1,10,0
Alabama A&M,SWAC,205,104,-5.44,0,3,0,1,0,1,19,4
Alabama St.,SWAC,299,148,-8.55,0,5,0,0,0,1,13,7
Albany,America East,189,218,-12.59,0,2,0,1,0,3,13,10
Alcorn St.,SWAC,307,167,-9.38,0,3,0,1,0,1,14,8
American,Patriot,319,341,-21.36,0,1,0,0,0,2,7,20
Appalachian St.,Sun Belt,192,247,-14.63,0,3,0,3,0,3,9,10
Arizona,Big 12,120,155,-8.77,0,5,1,8,2,2,9,3
Arizona St,Big 12,51,41,0.84,1,6,6,2,5,2,12,0
Arkansas,SEC,105,122,-7.03,0,11,0,4,3,3,9,2
Arkansas Pine Bluff,SWAC,323,227,-13.03,0,1,0,1,0,2,14,11
Arkansas St.,Sun Belt,92,105,-5.82,0,0,1,2,1,6,21,1
Army West Point,Patriot,115,91,-4.34,0,1,0,0,0,2,23,3
Auburn,SEC,88,75,-2.98,0,12,4,4,1,1,10,0
Austin Peay,ASUN,157,192,-10.70,0,1,0,0,0,2,17,10
Ball St.,MAC,67,65,-2.37,0,2,0,2,3,1,22,1
Baylor,Big 12,32,21,4.33,3,6,6,2,4,0,11,0
Bellarmine,ASUN,362,358,-25.09,0,4,0,0,0,4,1,22
Belmont,MVC,101,98,-4.86,0,5,0,1,1,2,19,3
Bethune Cookman,SWAC,345,347,-22.05,0,2,0,2,0,0,5,21
Binghamton,America East,178,149,-8.62,0,2,0,1,1,1,16,8
Boise St.,Mountain West,122,111,-6.07,0,0,0,3,1,3,23,3
Boston College,ACC,245,272,-16.06,0,8,0,6,0,6,5,6
Boston University,Patriot,285,302,-17.86,0,1,0,0,0,4,10,15
Bowling Green,MAC,187,187,-10.44,0,1,0,2,0,6,13,5
