source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,scraped_at_iso,status,error_message,row_count
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 8, 2026",2026-03-08T00:00:00+00:00,2026-03-09T21:20:45+00:00,ok,,72
espn,ESPN,https://www.espn.com/espn/feature/story/_/id/30423107/ncaa-women-bracketology-2026-women-college-basketball-projections,"3/8/26, 11:55pm ET",2026-03-08T23:55:00+00:00,2026-03-09T21:20:45+00:00,ok,,68
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,3/5/2026,2026-03-05T00:00:00+00:00,2026-03-09T21:20:45+00:00,ok,,68
the_ix,The IX,https://www.theixsports.com/category/the-ix-basketball-newsroom/ncaa-basketball/bracketology/,"March 9, 2026",2026-03-09T00:00:00+00:00,2026-03-09T21:20:45+00:00,ok,,68
cbssports,CBS Sports,https://www.cbssports.com/womens-college-basketball/,"Mar 7, 2026 at 11:14 am ET",2026-03-07T11:14:00+00:00,2026-03-09T21:20:45+00:00,ok,,68
usatoday,USA Today,https://www.usatoday.com/sports/ncaaw/ncaa-womens-basketball-tournament/,"March 8, 2026",2026-03-08T00:00:00+00:00,2026-03-09T21:20:45+00:00,ok,,68
the_athletic,The Athletic,https://www.nytimes.com/athletic/tag/bracketcentral/,3/6/2026,2026-03-06T00:00:00+00:00,2026-03-09T21:20:45+00:00,ok,,68
