source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,team_raw,seed,is_play_in,scraped_at_iso,canonical_slug,team_display,ncaa_id,espn_id,resolution_method,resolution_confidence
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,,,44AM ET,8,False,2026-03-07T01:31:20+00:00,44am-et,44AM ET,,,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,,,24PM ET,11,False,2026-03-07T01:31:20+00:00,24pm-et,24PM ET,,,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,,,0 starts for both Louisville and Duke in ACC play have both teams surging. The C,10,False,2026-03-07T01:31:20+00:00,0-starts-for-both-louisville-and-duke-in-acc-play-have-both-teams-surging-the-c,0 starts for both Louisville and Duke in ACC play have both teams surging. The C,,,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,,,53PM ET,3,False,2026-03-07T01:31:20+00:00,53pm-et,53PM ET,,,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,,,24PM ET,9,False,2026-03-07T01:31:20+00:00,24pm-et,24PM ET,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Connecticut,1,False,2026-03-07T01:31:20+00:00,connecticut,Connecticut,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Alabama A&M,16,True,2026-03-07T01:31:20+00:00,alabama-a-and-m,Alabama A&M,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Chattanooga,16,True,2026-03-07T01:31:20+00:00,chattanooga,Chattanooga,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Oklahoma St.,8,False,2026-03-07T01:31:20+00:00,oklahoma-state,Oklahoma St.,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Virginia,9,False,2026-03-07T01:31:20+00:00,virginia,Virginia,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Kentucky,5,False,2026-03-07T01:31:20+00:00,kentucky,Kentucky,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Georgia Southern,12,False,2026-03-07T01:31:20+00:00,georgia-southern,Georgia Southern,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,West Virginia,4,False,2026-03-07T01:31:20+00:00,west-virginia,West Virginia,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Green Bay,13,False,2026-03-07T01:31:20+00:00,green-bay,Green Bay,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Texas Tech,6,False,2026-03-07T01:31:20+00:00,texas-tech,Texas Tech,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Fairfield,11,False,2026-03-07T01:31:20+00:00,fairfield,Fairfield,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Louisville,3,False,2026-03-07T01:31:20+00:00,louisville,Louisville,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Western Illinois,14,False,2026-03-07T01:31:20+00:00,western-illinois,Western Illinois,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Iowa State,7,False,2026-03-07T01:31:20+00:00,iowa-state,Iowa State,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Rhode Island,10,False,2026-03-07T01:31:20+00:00,rhode-island,Rhode Island,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Vanderbilt,2,False,2026-03-07T01:31:20+00:00,vanderbilt,Vanderbilt,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Loyola Marymount,15,False,2026-03-07T01:31:20+00:00,loyola-marymount,Loyola Marymount,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,South Carolina,1,False,2026-03-07T01:31:20+00:00,south-carolina,South Carolina,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Cal Bap,16,True,2026-03-07T01:31:20+00:00,cal-bap,Cal Bap,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Howard,16,True,2026-03-07T01:31:20+00:00,howard,Howard,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Virginia Tech,8,False,2026-03-07T01:31:20+00:00,virginia-tech,Virginia Tech,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Villanova,9,False,2026-03-07T01:31:20+00:00,villanova,Villanova,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Michigan State,5,False,2026-03-07T01:31:20+00:00,michigan-state,Michigan State,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,N. Dakota St.,12,False,2026-03-07T01:31:20+00:00,n-dakota-state,N. Dakota St.,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,North Carolina,4,False,2026-03-07T01:31:20+00:00,north-carolina,North Carolina,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Louisiana Tech,13,False,2026-03-07T01:31:20+00:00,louisiana-tech,Louisiana Tech,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Mississippi,6,False,2026-03-07T01:31:20+00:00,mississippi,Mississippi,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Arizona St.,11,True,2026-03-07T01:31:20+00:00,arizona-state,Arizona St.,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Stanford,11,True,2026-03-07T01:31:20+00:00,stanford,Stanford,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Oklahoma,3,False,2026-03-07T01:31:20+00:00,oklahoma,Oklahoma,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Charleston,14,False,2026-03-07T01:31:20+00:00,charleston,Charleston,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Tennessee,7,False,2026-03-07T01:31:20+00:00,tennessee,Tennessee,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Princeton,10,False,2026-03-07T01:31:20+00:00,princeton,Princeton,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Michigan,2,False,2026-03-07T01:31:20+00:00,michigan,Michigan,,,new,100.0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,Idaho,15,False,2026-03-07T01:31:20+00:00,idaho,Idaho,,,new,100.0
