canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
abilene-christian,Abilene Christian,WAC,Abilene Christian,WAC,107,123,-7.16,0,1,0,0,2,0,17,8,Abilene Christian,WAC,107,.7063,1,1
air-force,Air Force,Mountain West,Air Force,Mountain West,214,250,-14.77,0,0,0,2,1,9,14,7,Air Force,MWC,196,.3793,1,1
akron,Akron,MAC,Akron,MAC,291,322,-19.98,0,2,0,2,0,4,5,16,Akron,MAC,288,.1340,1,1
alabama,Alabama,SEC,Alabama,SEC,27,20,4.69,5,8,4,1,4,1,10,0,Alabama,SEC,29,.9725,1,1
alabama-a-and-m,Alabama A&M,SWAC,Alabama A&M,SWAC,205,104,-5.44,0,3,0,1,0,1,19,4,Alabama A&M,SWAC,233,.2975,1,1
alabama-state,Alabama St.,SWAC,Alabama St.,SWAC,299,148,-8.55,0,5,0,0,0,1,13,7,Alabama St.,SWAC,321,.0692,1,1
albany,Albany,America East,Albany,America East,189,218,-12.59,0,2,0,1,0,3,13,10,Albany,AE,203,.3723,1,1
alcorn-state,Alcorn St.,SWAC,Alcorn St.,SWAC,307,167,-9.38,0,3,0,1,0,1,14,8,Alcorn St.,SWAC,324,.0676,1,1
american,American,Patriot,American,Patriot,319,341,-21.36,0,1,0,0,0,2,7,20,American,Pat,325,.0596,1,1
appalachian-state,Appalachian St.,Sun Belt,Appalachian St.,Sun Belt,192,247,-14.63,0,3,0,3,0,3,9,10,Appalachian St.,SB,199,.3746,1,1
arizona,Arizona,Big 12,Arizona,Big 12,120,155,-8.77,0,5,1,8,2,2,9,3,Arizona,B12,109,.7019,1,1
arizona-state,Arizona St,Big 12,Arizona St,Big 12,51,41,0.84,1,6,6,2,5,2,12,0,Arizona St.,B12,45,.9331,1,1
arkansas,Arkansas,SEC,Arkansas,SEC,105,122,-7.03,0,11,0,4,3,3,9,2,Arkansas,SEC,102,.7362,1,1
arkansas-pine-bluff,Arkansas Pine Bluff,SWAC,Arkansas Pine Bluff,SWAC,323,227,-13.03,0,1,0,1,0,2,14,11,Arkansas Pine Bluff,SWAC,339,.0415,1,1
arkansas-state,Arkansas St.,Sun Belt,Arkansas St.,Sun Belt,92,105,-5.82,0,0,1,2,1,6,21,1,Arkansas St.,SB,101,.7442,1,1
army-west-point,Army West Point,Patriot,Army West Point,Patriot,115,91,-4.34,0,1,0,0,0,2,23,3,Army,Pat,141,.5828,1,1
auburn,Auburn,SEC,Auburn,SEC,88,75,-2.98,0,12,4,4,1,1,10,0,Auburn,SEC,86,.7983,1,1
austin-peay,Austin Peay,ASUN,Austin Peay,ASUN,157,192,-10.70,0,1,0,0,0,2,17,10,Austin Peay,ASun,163,.5133,1,1
ball-state,Ball St.,MAC,Ball St.,MAC,67,65,-2.37,0,2,0,2,3,1,22,1,Ball St.,MAC,81,.8139,1,1
baylor,Baylor,Big 12,Baylor,Big 12,32,21,4.33,3,6,6,2,4,0,11,0,Baylor,B12,35,.9640,1,1
bellarmine,Bellarmine,ASUN,Bellarmine,ASUN,362,358,-25.09,0,4,0,0,0,4,1,22,Bellarmine,ASun,363,.0039,1,1
belmont,Belmont,MVC,Belmont,MVC,101,98,-4.86,0,5,0,1,1,2,19,3,Belmont,MVC,108,.7021,1,1
bethune-cookman,Bethune Cookman,SWAC,Bethune Cookman,SWAC,345,347,-22.05,0,2,0,2,0,0,5,21,Bethune Cookman,SWAC,353,.0240,1,1
binghamton,Binghamton,America East,Binghamton,America East,178,149,-8.62,0,2,0,1,1,1,16,8,Binghamton,AE,216,.3359,1,1
boise-state,Boise St.,Mountain West,Boise St.,Mountain West,122,111,-6.07,0,0,0,3,1,3,23,3,Boise St.,MWC,113,.6809,1,1
boston-college,Boston College,ACC,Boston College,ACC,245,272,-16.06,0,8,0,6,0,6,5,6,Boston College,ACC,208,.3614,1,1
boston-university,Boston University,Patriot,Boston University,Patriot,285,302,-17.86,0,1,0,0,0,4,10,15,Boston University,Pat,296,.1179,1,1
bowling-green,Bowling Green,MAC,Bowling Green,MAC,187,187,-10.44,0,1,0,2,0,6,13,5,Bowling Green,MAC,180,.4494,1,1
bradley,Bradley,MVC,Bradley,MVC,160,142,-8.31,0,1,0,0,0,5,19,5,Bradley,MVC,156,.5387,1,1
brown,Brown,Ivy League,Brown,Ivy League,137,121,-6.82,0,1,0,3,1,3,14,3,Brown,Ivy,132,.6115,1,1
bryant,Bryant,America East,Bryant,America East,162,193,-10.76,0,0,0,0,0,2,16,10,Bryant,AE,178,.4584,1,1
bucknell,Bucknell,Patriot,Bucknell,Patriot,297,282,-16.95,0,1,0,0,0,4,10,14,Bucknell,Pat,307,.0920,1,1
buffalo,Buffalo,MAC,Buffalo,MAC,310,355,-23.76,0,1,0,2,0,5,3,19,Buffalo,MAC,315,.0757,1,1
butler,Butler,Big East,Butler,Big East,133,207,-11.55,0,4,0,4,2,6,10,5,Butler,BE,104,.7259,1,1
byu,BYU,Big 12,BYU,Big 12,56,46,0.15,0,5,8,4,2,1,12,1,BYU,B12,55,.8994,1,1
ca-baptist,CA Baptist,WAC,CA Baptist,WAC,127,129,-7.61,0,1,0,1,2,2,19,6,Cal Baptist,WAC,123,.6447,1,1
cal-poly,Cal Poly,Big West,Cal Poly,Big West,338,344,-21.71,0,3,0,2,0,3,2,18,Cal Poly,BW,323,.0681,1,1
cal-state-bakersfield,Cal St. Bakersfield,Big West,Cal St. Bakersfield,Big West,306,338,-21.19,0,0,0,2,0,4,6,17,Cal St. Bakersfield,BW,297,.1160,1,1
cal-state-fullerton,Cal St. Fullerton,Big West,Cal St. Fullerton,Big West,193,205,-11.50,0,0,0,1,0,3,16,9,Cal St. Fullerton,BW,191,.3884,1,1
cal-state-northridge,Cal St. Northridge,Big West,Cal St. Northridge,Big West,275,305,-17.93,0,0,0,2,0,6,8,12,Cal St. Northridge,BW,273,.1757,1,1
california,California,ACC,California,ACC,52,68,-2.64,1,8,3,4,2,2,13,0,California,ACC,47,.9277,1,1
campbell,Campbell,CAA,Campbell,CAA,210,169,-9.52,0,0,0,1,1,1,17,9,Campbell,CAA,225,.3150,1,1
canisius,Canisius,MAAC,Canisius,MAAC,341,333,-20.77,0,2,0,2,0,3,5,17,Canisius,MAAC,344,.0350,1,1
central-arkansas,Central Arkansas,ASUN,Central Arkansas,ASUN,106,161,-9.08,0,0,0,1,1,3,18,7,Central Arkansas,ASun,114,.6757,1,1
central-connecticut,Central Connecticut,NEC,Central Connecticut,NEC,361,360,-25.31,0,1,0,0,0,2,2,24,Central Connecticut,NEC,358,.0095,1,1
central-michigan,Central Michigan,MAC,Central Michigan,MAC,116,124,-7.33,0,3,0,2,1,2,16,5,Central Michigan,MAC,142,.5815,1,1
charleston,Charleston,CAA,Charleston,CAA,104,79,-3.48,0,0,0,1,2,0,20,4,Charleston,CAA,126,.6252,1,1
charleston-southern,Charleston Southern,Big South,Charleston Southern,Big South,331,314,-18.66,0,2,0,2,0,3,7,15,Charleston Southern,BSth,346,.0346,1,1
charlotte,Charlotte,American,Charlotte,American,169,221,-12.82,0,3,0,3,1,3,13,9,Charlotte,Amer,160,.5242,1,1
chattanooga,Chattanooga,SoCon,Chattanooga,SoCon,208,153,-8.72,0,0,0,2,0,0,18,8,Chattanooga,SC,217,.3326,1,1
chicago-state,Chicago St.,NEC,Chicago St.,NEC,346,329,-20.64,0,1,0,1,0,2,9,19,Chicago St.,NEC,343,.0354,1,1
cincinnati,Cincinnati,Big 12,Cincinnati,Big 12,109,168,-9.49,0,4,3,9,0,3,7,4,Cincinnati,B12,93,.7672,1,1
clemson,Clemson,ACC,Clemson,ACC,42,36,1.36,3,10,3,1,1,0,14,0,Clemson,ACC,49,.9229,1,1
cleveland-state,Cleveland St.,Horizon,Cleveland St.,Horizon,149,131,-7.67,0,0,0,0,1,1,21,8,Cleveland St.,Horz,147,.5672,1,1
coastal-carolina,Coastal Carolina,Sun Belt,Coastal Carolina,Sun Belt,145,229,-13.21,0,3,0,3,0,5,12,7,Coastal Carolina,SB,154,.5474,1,1
colgate,Colgate,Patriot,Colgate,Patriot,321,345,-21.76,0,1,0,1,0,4,6,18,Colgate,Pat,327,.0583,1,1
colorado,Colorado,Big 12,Colorado,Big 12,46,42,0.84,2,5,6,3,3,2,11,1,Colorado,B12,36,.9613,1,1
colorado-state,Colorado St.,Mountain West,Colorado St.,Mountain West,70,81,-3.55,0,0,1,2,3,4,22,1,Colorado St.,MWC,70,.8539,1,1
columbia,Columbia,Ivy League,Columbia,Ivy League,58,59,-1.83,1,1,4,2,0,3,15,1,Columbia,Ivy,58,.8914,1,1
coppin-state,Coppin St.,MEAC,Coppin St.,MEAC,295,275,-16.32,0,5,0,1,0,1,7,15,Coppin St.,MEAC,293,.1254,1,1
cornell,Cornell,Ivy League,Cornell,Ivy League,296,242,-14.26,0,2,1,2,1,3,6,11,Cornell,Ivy,278,.1661,1,1
creighton,Creighton,Big East,Creighton,Big East,90,114,-6.32,0,5,1,4,3,3,12,3,Creighton,BE,68,.8597,1,1
dartmouth,Dartmouth,Ivy League,Dartmouth,Ivy League,322,236,-13.77,0,1,0,3,0,4,7,9,Dartmouth,Ivy,317,.0741,1,1
davidson,Davidson,Atlantic 10,Davidson,Atlantic 10,72,107,-5.89,0,4,0,4,3,2,18,2,Davidson,A10,84,.8104,1,1
dayton,Dayton,Atlantic 10,Dayton,Atlantic 10,166,180,-10.06,0,0,1,6,1,1,15,7,Dayton,A10,171,.4777,1,1
delaware,Delaware,CUSA,Delaware,CUSA,238,283,-16.99,0,0,0,1,0,4,12,14,Delaware,CUSA,251,.2357,1,1
delaware-state,Delaware St.,MEAC,Delaware St.,MEAC,344,337,-21.12,0,1,0,0,0,1,4,21,Delaware St.,MEAC,340,.0367,1,1
denver,Denver,Summit League,Denver,Summit League,287,264,-15.38,0,1,0,4,0,3,8,11,Denver,Sum,275,.1723,1,1
depaul,DePaul,Big East,DePaul,Big East,203,273,-16.20,0,5,0,3,2,5,6,11,DePaul,BE,161,.5200,1,1
detroit-mercy,Detroit Mercy,Horizon,Detroit Mercy,Horizon,303,327,-20.37,0,1,0,0,0,3,7,19,Detroit Mercy,Horz,306,.0924,1,1
drake,Drake,MVC,Drake,MVC,213,252,-14.80,0,2,0,1,0,6,11,10,Drake,MVC,207,.3634,1,1
drexel,Drexel,CAA,Drexel,CAA,165,137,-7.85,0,0,0,0,0,3,19,6,Drexel,CAA,170,.4935,1,1
duke,Duke,ACC,Duke,ACC,8,10,8.00,9,7,5,1,2,0,8,0,Duke,ACC,7,.9937,1,1
duquesne,Duquesne,Atlantic 10,Duquesne,Atlantic 10,242,269,-15.91,0,1,0,2,1,4,9,12,Duquesne,A10,236,.2839,1,1
east-carolina,East Carolina,American,East Carolina,American,112,120,-6.79,0,0,0,1,1,2,21,6,East Carolina,Amer,125,.6296,1,1
east-tennessee-state,East Tennessee St.,SoCon,East Tennessee St.,SoCon,247,182,-10.21,0,3,0,0,0,0,16,10,East Tennessee St.,SC,247,.2448,1,1
east-texas-a-and-m,East Texas A&M,Southland,East Texas A&M,Southland,289,244,-14.39,0,2,0,0,0,2,11,13,East Texas A&M,Slnd,292,.1257,1,1
eastern-illinois,Eastern Illinois,OVC,Eastern Illinois,OVC,317,352,-22.90,0,2,0,2,0,5,4,18,Eastern Illinois,OVC,310,.0863,1,1
e-kentucky,Eastern Kentucky,ASUN,Eastern Kentucky,ASUN,110,108,-5.92,0,1,0,0,1,1,21,6,Eastern Kentucky,ASun,121,.6590,1,1
eastern-michigan,Eastern Michigan,MAC,Eastern Michigan,MAC,196,216,-12.52,0,1,0,3,0,4,12,8,Eastern Michigan,MAC,220,.3298,1,1
eastern-washington,Eastern Washington,Big Sky,Eastern Washington,Big Sky,209,256,-15.03,0,0,0,3,1,5,12,10,Eastern Washington,BSky,202,.3730,1,1
elon,Elon,CAA,Elon,CAA,212,226,-12.99,0,1,0,0,0,3,14,11,Elon,CAA,218,.3319,1,1
evansville,Evansville,MVC,Evansville,MVC,277,336,-21.10,0,1,0,1,1,3,6,19,Evansville,MVC,271,.1850,1,1
fairfield,Fairfield,MAAC,Fairfield,MAAC,53,45,0.30,2,2,0,0,3,1,23,1,Fairfield,MAAC,60,.8889,1,1
fdu,FDU,NEC,FDU,NEC,132,67,-2.58,0,1,0,1,0,0,26,2,Fairleigh Dickinson,NEC,130,.6146,1,1
fiu,FIU,CUSA,FIU,CUSA,174,141,-8.14,0,0,0,2,0,2,19,6,FIU,CUSA,166,.4979,1,1
florida,Florida,SEC,Florida,SEC,48,62,-2.22,2,10,1,1,3,3,12,1,Florida,SEC,38,.9524,1,1
florida-a-and-m,Florida A&M,SWAC,Florida A&M,SWAC,339,325,-20.33,0,0,0,2,0,1,8,19,Florida A&M,SWAC,341,.0366,1,1
florida-atlantic,Florida Atlantic,American,Florida Atlantic,American,239,251,-14.78,0,0,0,3,1,5,12,10,Florida Atlantic,Amer,241,.2692,1,1
florida-gulf-coast,Florida Gulf Coast,ASUN,Florida Gulf Coast,ASUN,159,197,-10.93,0,1,1,2,1,4,12,8,Florida Gulf Coast,ASun,157,.5302,1,1
florida-state,Florida St.,ACC,Florida St.,ACC,108,144,-8.38,0,9,0,9,3,2,7,1,Florida St.,ACC,99,.7492,1,1
fordham,Fordham,Atlantic 10,Fordham,Atlantic 10,259,279,-16.55,0,1,0,5,0,2,9,12,Fordham,A10,256,.2280,1,1
fresno-state,Fresno St.,Mountain West,Fresno St.,Mountain West,175,239,-14.15,0,1,0,4,0,6,14,7,Fresno St.,MWC,155,.5449,1,1
