canonical_slug,team_display,ncaa_id,espn_id,appearances,avg_seed,conference,her_hoop_stats,espn,college_sports_madness,the_ix,cbssports,usatoday,the_athletic
south-carolina,South Carolina,,,5,1,SEC,1,1,1,1,,,1
texas,Texas,,,5,1,SEC,1,1,1,1,,,1
ucla,UCLA,,,5,1,B10,1,1,1,1,,,1
uconn,UConn,,,5,1,BE,1,1,1,1,,,1
iowa,Iowa,,,5,2,B10,2,2,2,2,,,2
lsu,LSU,,,5,2,SEC,2,2,2,2,,,2
vanderbilt,Vanderbilt,,,5,2,SEC,2,2,2,2,,,2
michigan,Michigan,,,5,2.4,B10,3,3,2,2,,,2
duke,Duke,,,5,2.6,ACC,2,2,3,3,,,3
louisville,Louisville,,,5,3,ACC,3,3,3,3,,,3
tcu,TCU,,,5,3,B12,3,3,3,3,,,3
ohio-state,Ohio St.,,,5,3.4,B10,3,3,4,3,,,4
oklahoma,Oklahoma,,,5,3.6,SEC,4,4,3,4,,,3
maryland,Maryland,,,5,4.2,B10,4,4,5,4,,,4
minnesota,Minnesota,,,5,4.2,B10,4,4,4,5,,,4
west-virginia,West Virginia,,,5,4.2,B12,4,4,4,4,,,5
north-carolina,North Carolina,,,5,4.6,ACC,5,5,4,4,,,5
kentucky,Kentucky,,,5,4.8,SEC,5,5,5,5,,,4
michigan-state,Michigan St,,,5,5,B10,5,5,5,5,,,5
ole-miss,Ole Miss,,,5,5.6,SEC,5,5,6,6,,,6
baylor,Baylor,,,5,5.8,B12,6,6,5,6,,,6
notre-dame,Notre Dame,,,5,6,ACC,6,6,6,5,,,7
alabama,Alabama,,,5,6.4,SEC,6,6,8,6,,,6
north-carolina-state,NC State,,,5,6.4,ACC,6,8,6,7,,,5
georgia,Georgia,,,5,6.8,SEC,7,7,7,7,,,6
texas-tech,Texas Tech,,,5,6.8,B12,7,6,6,7,,,8
washington,Washington,,,5,6.8,B10,7,7,7,6,,,7
oregon,Oregon,,,5,7.6,B10,8,7,9,7,,,7
tennessee,Tennessee,,,5,7.6,SEC,8,8,7,8,,,7
illinois,Illinois,,,5,8,B10,7,7,10,8,,,8
oklahoma-state,Oklahoma St,,,5,8.4,B12,9,8,8,9,,,8
usc,USC,,,5,8.4,B10,9,9,8,8,,,8
iowa-state,Iowa St.,,,5,8.6,B12,8,9,7,10,,,9
virginia-tech,Virginia Tech,,,5,8.8,ACC,8,9,8,8,,,11
villanova,Villanova,,,5,9,BE,9,8,9,10,,,9
syracuse,Syracuse,,,5,9.4,ACC,10,9,10,9,,,9
clemson,Clemson,,,5,9.8,ACC,10,10,9,9,,,11
princeton,Princeton,,,5,9.8,Ivy,9,10,10,10,,,10
colorado,Colorado,,,5,10,B12,10,10,11,9,,,10
rhode-island,Rhode Island,,,5,10.2,A10,10,11,10,11,,,9
south-dakota-state,South Dakota St,,,3,10.333,Sum,11,10,,10,,,
columbia,Columbia,,,2,10.5,Ivy,,,11,,,,10
fairfield,Fairfield,,,5,10.8,MAAC,11,11,11,11,,,10
virginia,Virginia,,,5,10.8,ACC,11,12,9,11,,,11
nebraska,Nebraska,,,3,11,B10,11,11,,11,,,
richmond,Richmond,,,3,11,A10,11,11,,FFO,,,11
mississippi-state,Mississippi St,,,1,11,SEC,FFO,NFO,,NFO,,,11
stanford,Stanford,,,1,11,ACC,,NFO,11,NFO,,,
arizona-state,Arizona St,,,4,11.25,B12,11,12,11,11,,,
rice,Rice,,,4,11.25,Amer,,11,11,11,,,12
n-dakota-state,N Dakota St,,,2,11.5,Sum,FFO,FFO,12,FFO,,,11
ball-state,Ball St.,,,2,12,MAC,12,,,,,,12
georgia-southern,Georgia Southern,,,2,12,SB,,,12,,,,12
gonzaga,Gonzaga,,,2,12,WCC,12,12,,,,,
james-madison,James Madison,,,2,12,SB,12,12,,,,,
montana-state,Montana St.,,,1,12,BSky,12,,,,,,
quinnipiac,Quinnipiac,,,1,12,MAAC,,,,12,,,
san-diego-state,San Diego St.,,,2,12.5,MWC,,,12,,,,13
miami-oh,Miami (OH),,,3,12.667,MAC,,13,13,12,,,
uc-irvine,UC Irvine,,,4,13,BW,13,13,14,12,,,
colorado-state,Colorado St,,,2,13,MWC,13,13,,,,,
south-fla,South Fla.,,,1,13,Amer,13,,,,,,
troy,Troy,,,1,13,SB,,,,13,,,
la-tech,La. Tech,,,5,13.2,CUSA,13,14,13,13,,,13
murray-state,Murray St,,,5,13.2,MVC,14,12,12,14,,,14
green-bay,Green Bay,,,5,13.6,Horz,15,13,13,14,,,13
mcneese-state,McNeese St,,,5,13.6,Slnd,14,14,14,13,,,13
vermont,Vermont,,,5,13.6,AE,14,14,13,12,,,15
western-illinois,Western Illinois,,,5,14,OVC,14,15,14,13,,,14
loyola-marymount,Loyola Marymount,,,3,14,WCC,,,15,15,,,12
unlv,UNLV,,,1,14,MWC,,,,14,,,
idaho,Idaho,,,4,14.25,BSky,,14,15,14,,,14
charleston,Charleston,,,5,14.6,CAA,15,15,14,15,,,14
navy,Navy,,,4,15,Pat,,15,15,15,,,15
abilene-christian,Abilene Christian,,,1,15,WAC,15,,,,,,
uc-san-diego,UC San Diego,,,1,15,BW,,,,,,,15
jacksonville,Jacksonville,,,3,15.333,ASun,15,15,,16,,,
e-kentucky,Eastern Kentucky,,,2,15.5,ASun,,,15,,,,16
fdu,FDU,,,5,15.8,NEC,16,16,16,15,,,16
high-point,High Point,,,5,15.8,BSth,16,16,16,16,,,15
alabama-a-and-m,Alabama A&M,,,5,16,SWAC,16,16,16,16,,,16
howard,Howard,,,5,16,MEAC,16,16,16,16,,,16
ca-baptist,CA Baptist,,,4,16,WAC,,16,16,16,,,16
samford,Samford,,,3,16,SC,16,16,,16,,,
chattanooga,Chattanooga,,,2,16,SC,,,16,,,,16
army-west-point,Army West Point,,,1,16,Pat,16,,,,,,
byu,BYU,,,0,99.0,B12,FFO,FFO,,FFO,,,NFO
indiana,Indiana,,,0,99.0,B10,,NFO,,NFO,,,
kansas-state,Kansas St,,,0,99.0,B12,,NFO,,NFO,,,
texas-a-and-m,Texas A&M,,,0,99.0,SEC,,FFO,,,,,
utah,Utah,,,0,99.0,B12,FFO,FFO,,FFO,,,
