team,conference,bart_rank,barthag
Connecticut,BE,1,.9996
UCLA,B10,2,.9992
Texas,SEC,3,.9988
South Carolina,SEC,4,.9987
LSU,SEC,5,.9978
Michigan,B10,6,.9953
Duke,ACC,7,.9937
Minnesota,B10,8,.9916
Iowa,B10,9,.9909
Vanderbilt,SEC,10,.9908
Louisville,ACC,11,.9906
Maryland,B10,12,.9895
Ohio St.,B10,13,.9894
Oklahoma,SEC,14,.9889
TCU,B12,15,.9887
West Virginia,B12,16,.9884
Kentucky,SEC,17,.9882
North Carolina,ACC,18,.9866
Washington,B10,19,.9837
USC,B10,20,.9829
Mississippi,SEC,21,.9825
Michigan St.,B10,22,.9822
Notre Dame,ACC,23,.9805
Tennessee,SEC,24,.9804
N.C. State,ACC,25,.9770
Nebraska,B10,26,.9755
Oregon,B10,27,.9747
Villanova,BE,28,.9746
Alabama,SEC,29,.9726
Texas Tech,B12,30,.9721
Illinois,B10,31,.9716
Georgia,SEC,32,.9716
Oklahoma St.,B12,33,.9678
Iowa St.,B12,34,.9671
Baylor,B12,35,.9645
Colorado,B12,36,.9619
Virginia Tech,ACC,37,.9595
Florida,SEC,38,.9527
Syracuse,ACC,39,.9510
Virginia,ACC,40,.9442
Mississippi St.,SEC,41,.9418
Stanford,ACC,42,.9416
James Madison,SB,43,.9375
Richmond,A10,44,.9340
Arizona St.,B12,45,.9338
Indiana,B10,46,.9319
California,ACC,47,.9281
Kansas,B12,48,.9270
Clemson,ACC,49,.9232
Texas A&M,SEC,50,.9211
South Dakota St.,Sum,51,.9190
Princeton,Ivy,52,.9158
Kansas St.,B12,53,.9133
Utah,B12,54,.9092
BYU,B12,55,.9006
Seton Hall,BE,56,.8994
Marquette,BE,57,.8939
Rhode Island,A10,58,.8910
Georgia Tech,ACC,59,.8896
Columbia,Ivy,60,.8884
Fairfield,MAAC,61,.8882
Gonzaga,WCC,62,.8851
George Mason,A10,63,.8834
North Dakota St.,Sum,64,.8807
Miami FL,ACC,65,.8787
Harvard,Ivy,66,.8681
Montana St.,BSky,67,.8654
Creighton,BE,68,.8612
Wisconsin,B10,69,.8603
Colorado St.,MWC,70,.8559
Penn St.,B10,71,.8488
Miami OH,MAC,72,.8427
Purdue,B10,73,.8375
San Diego St.,MWC,74,.8367
Missouri,SEC,75,.8350
Georgetown,BE,76,.8344
Rice,Amer,77,.8340
South Florida,Amer,78,.8338
Georgia Southern,SB,79,.8282
Oregon St.,WCC,80,.8212
UNLV,MWC,81,.8127
St. John's,BE,82,.8125
Davidson,A10,83,.8096
Ball St.,MAC,84,.8072
Louisiana Tech,CUSA,85,.8067
Auburn,SEC,86,.7997
Troy,SB,87,.7933
Green Bay,Horz,88,.7879
Idaho,BSky,89,.7857
Santa Clara,WCC,90,.7830
UC Irvine,BW,91,.7774
McNeese St.,Slnd,92,.7729
Cincinnati,B12,93,.7700
Vermont,AE,94,.7645
Saint Joseph's,A10,95,.7629
Loyola Marymount,WCC,96,.7612
Quinnipiac,MAAC,97,.7608
North Texas,Amer,98,.7526
Florida St.,ACC,99,.7510
Massachusetts,MAC,100,.7478
Arkansas St.,SB,101,.7428
Arkansas,SEC,102,.7379
Lindenwood,OVC,103,.7308
Butler,BE,104,.7277
Abilene Christian,WAC,105,.7259
Western Illinois,OVC,106,.7230
Murray St.,MVC,107,.7228
Hawaii,BW,108,.7060
Arizona,B12,109,.7044
Northwestern,B10,110,.7028
New Mexico,MWC,111,.6996
Boise St.,MWC,112,.6818
Central Arkansas,ASun,113,.6763
UC San Diego,BW,114,.6746
Providence,BE,115,.6738
Portland,WCC,116,.6698
Southern Indiana,OVC,117,.6691
Belmont,MVC,118,.6689
Pepperdine,WCC,119,.6634
Cal Baptist,WAC,120,.6609
Wake Forest,ACC,121,.6598
Eastern Kentucky,ASun,122,.6586
Marshall,SB,123,.6440
Navy,Pat,124,.6330
Penn,Ivy,125,.6162
South Dakota,Sum,126,.6162
East Carolina,Amer,127,.6142
Purdue Fort Wayne,Horz,128,.6123
Charleston,CAA,129,.6119
Northern Colorado,BSky,130,.6117
Grand Canyon,MWC,131,.6110
Missouri St.,CUSA,132,.6096
Fairleigh Dickinson,NEC,133,.6087
UTSA,Amer,134,.6081
Rutgers,B10,135,.6072
Northern Iowa,MVC,136,.6054
Liberty,CUSA,137,.5946
Temple,Amer,138,.5895
Xavier,BE,139,.5874
Ohio,MAC,140,.5867
Brown,Ivy,141,.5865
UC Santa Barbara,BW,142,.5841
Central Michigan,MAC,143,.5813
Idaho St.,BSky,144,.5797
UCF,B12,145,.5746
Jacksonville,ASun,146,.5702
Army,Pat,147,.5688
Cleveland St.,Horz,148,.5685
Old Dominion,SB,149,.5665
Youngstown St.,Horz,150,.5639
La Salle,A10,151,.5633
San Francisco,WCC,152,.5615
Toledo,MAC,153,.5604
Coastal Carolina,SB,154,.5471
Fresno St.,MWC,155,.5471
Illinois St.,MVC,156,.5317
Florida Gulf Coast,ASun,157,.5290
Bradley,MVC,158,.5268
Charlotte,Amer,159,.5226
DePaul,BE,160,.5202
Louisiana Monroe,SB,161,.5174
Middle Tennessee,CUSA,162,.5129
Austin Peay,ASun,163,.5127
Drexel,CAA,164,.5091
Houston,B12,165,.5068
Holy Cross,Pat,166,.5060
High Point,BSth,167,.5059
Tulsa,Amer,168,.4947
FIU,CUSA,169,.4861
Southern Utah,WAC,170,.4847
UC Davis,BW,171,.4832
Dayton,A10,172,.4783
Utah Valley,WAC,173,.4687
Saint Mary's,WCC,174,.4672
George Washington,A10,175,.4632
Stetson,ASun,176,.4618
Bryant,AE,177,.4564
Kent St.,MAC,178,.4564
Maine,AE,179,.4543
Howard,MEAC,180,.4491
Bowling Green,MAC,181,.4490
Stephen F. Austin,Slnd,182,.4438
Tulane,Amer,183,.4425
Northern Kentucky,Horz,184,.4365
South Alabama,SB,185,.4354
Sam Houston St.,CUSA,186,.4292
Pacific,WCC,187,.4183
Morehead St.,OVC,188,.4111
Illinois Chicago,MVC,189,.4053
Lehigh,Pat,190,.3911
Cal St. Fullerton,BW,191,.3897
UAB,Amer,192,.3846
St. Thomas,Sum,193,.3844
Washington St.,WCC,194,.3843
NJIT,AE,195,.3824
Air Force,MWC,196,.3820
SMU,ACC,197,.3777
Appalachian St.,SB,198,.3770
Eastern Washington,BSky,199,.3738
Tarleton St.,WAC,200,.3733
Robert Morris,Horz,201,.3724
Albany,AE,202,.3719
Sacramento St.,BSky,203,.3714
UMBC,AE,204,.3712
Southern Miss,SB,205,.3695
Lamar,Slnd,206,.3669
Boston College,ACC,207,.3630
Drake,MVC,208,.3602
Oral Roberts,Sum,209,.3581
Norfolk St.,MEAC,210,.3544
SIU Edwardsville,OVC,211,.3481
Radford,BSth,212,.3438
Loyola Chicago,A10,213,.3400
UT Rio Grande Valley,Slnd,214,.3379
St. Bonaventure,A10,215,.3368
Binghamton,AE,216,.3322
Eastern Michigan,MAC,217,.3309
Chattanooga,SC,218,.3280
Jacksonville St.,CUSA,219,.3279
Memphis,Amer,220,.3277
Southeast Missouri St.,OVC,221,.3235
Monmouth,CAA,222,.3181
Nevada,MWC,223,.3154
Wyoming,MWC,224,.3114
William & Mary,CAA,225,.3114
Saint Louis,A10,226,.3084
UT Arlington,WAC,227,.3062
Northwestern St.,Slnd,228,.3037
Elon,CAA,229,.3035
Southern,SWAC,230,.2982
Utah Tech,WAC,231,.2975
UC Riverside,BW,232,.2973
Campbell,CAA,233,.2968
Alabama A&M,SWAC,234,.2903
Tennessee Tech,OVC,235,.2865
Duquesne,A10,236,.2846
Wofford,SC,237,.2818
North Alabama,ASun,238,.2817
Merrimack,MAAC,239,.2712
West Georgia,ASun,240,.2698
Florida Atlantic,Amer,241,.2682
Little Rock,OVC,242,.2626
Weber St.,BSky,243,.2583
Towson,CAA,244,.2524
VCU,A10,245,.2500
Nicholls St.,Slnd,246,.2487
Pittsburgh,ACC,247,.2445
East Tennessee St.,SC,248,.2418
Georgia St.,SB,249,.2377
IU Indy,Horz,250,.2376
Oakland,Horz,251,.2356
Delaware,CUSA,252,.2334
San Diego,WCC,253,.2334
Stony Brook,CAA,254,.2308
Fordham,A10,255,.2282
Northern Arizona,BSky,256,.2278
Longwood,BSth,257,.2244
Maryland Eastern Shore,MEAC,258,.2236
Tennessee Martin,OVC,259,.2207
Kennesaw St.,CUSA,260,.2183
Evansville,MVC,261,.2183
Southern Illinois,MVC,262,.2157
UMKC,Sum,263,.2054
Texas St.,SB,264,.2038
Montana,BSky,265,.2037
Western Michigan,MAC,266,.2027
Lipscomb,ASun,267,.2022
Furman,SC,268,.2018
Wichita St.,Amer,269,.2009
Yale,Ivy,270,.1937
Samford,SC,271,.1924
UTEP,CUSA,272,.1816
Cal St. Northridge,BW,273,.1784
LIU,NEC,274,.1759
Denver,Sum,275,.1728
Mercer,SC,276,.1714
North Florida,ASun,277,.1682
Incarnate Word,Slnd,278,.1657
Cornell,Ivy,279,.1639
Wright St.,Horz,280,.1596
Indiana St.,MVC,281,.1574
Hofstra,CAA,282,.1547
Iona,MAAC,283,.1544
North Carolina A&T,CAA,284,.1540
Utah St.,MWC,285,.1518
UNC Greensboro,SC,286,.1465
Western Kentucky,CUSA,287,.1445
Akron,MAC,288,.1340
Loyola MD,Pat,289,.1297
Manhattan,MAAC,290,.1274
Lafayette,Pat,291,.1273
East Texas A&M,Slnd,292,.1258
Northern Illinois,MAC,293,.1247
Siena,MAAC,294,.1226
Cal St. Bakersfield,BW,295,.1163
Coppin St.,MEAC,296,.1162
Boston University,Pat,297,.1158
Sacred Heart,MAAC,298,.1090
Mount St. Mary's,MAAC,299,.1079
New Hampshire,AE,300,.1073
New Mexico St.,CUSA,301,.1058
Northeastern,CAA,302,.1011
Portland St.,BSky,303,.0970
Milwaukee,Horz,304,.0970
Detroit Mercy,Horz,305,.0929
Winthrop,BSth,306,.0926
Bucknell,Pat,307,.0909
Marist,MAAC,308,.0874
Grambling St.,SWAC,309,.0865
Eastern Illinois,OVC,310,.0860
San Jose St.,MWC,311,.0850
Tennessee St.,OVC,312,.0831
Houston Christian,Slnd,313,.0764
Louisiana,SB,314,.0759
Buffalo,MAC,315,.0758
North Dakota,Sum,316,.0746
Dartmouth,Ivy,317,.0729
Long Beach St.,BW,318,.0727
Queens,ASun,319,.0698
Seattle,WCC,320,.0692
Cal Poly,BW,321,.0692
Alabama St.,SWAC,322,.0679
Alcorn St.,SWAC,323,.0662
Mercyhurst,NEC,324,.0648
American,Pat,325,.0588
Colgate,Pat,326,.0576
UNC Asheville,BSth,327,.0575
Hampton,CAA,328,.0561
UNC Wilmington,CAA,329,.0538
North Carolina Central,MEAC,330,.0534
Southeastern Louisiana,Slnd,331,.0515
Gardner Webb,BSth,332,.0483
Wagner,NEC,333,.0476
Nebraska Omaha,Sum,334,.0464
Stonehill,NEC,335,.0459
Rider,MAAC,336,.0453
Jackson St.,SWAC,337,.0434
Texas A&M Corpus Chris,Slnd,338,.0432
Arkansas Pine Bluff,SWAC,339,.0396
Florida A&M,SWAC,340,.0362
Delaware St.,MEAC,341,.0362
USC Upstate,BSth,342,.0352
Chicago St.,NEC,343,.0347
Canisius,MAAC,344,.0345
Charleston Southern,BSth,345,.0338
Saint Peter's,MAAC,346,.0332
Morgan St.,MEAC,347,.0318
UMass Lowell,AE,348,.0308
New Haven,NEC,349,.0290
New Orleans,Slnd,350,.0252
Le Moyne,NEC,351,.0251
Texas Southern,SWAC,352,.0240
Bethune Cookman,SWAC,353,.0238
Western Carolina,SC,354,.0228
Valparaiso,MVC,355,.0204
Mississippi Valley St.,SWAC,356,.0152
Saint Francis,NEC,357,.0126
Central Connecticut,NEC,358,.0094
Niagara,MAAC,359,.0085
South Carolina St.,MEAC,360,.0060
Presbyterian,BSth,361,.0050
Prairie View A&M,SWAC,362,.0041
Bellarmine,ASun,363,.0038
