canonical_slug,team_display,conference,ncaa_team,ncaa_conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l,bart_team,bart_conference,bart_rank,barthag,present_in_ncaa,present_in_bart
abilene-christian,Abilene Christian,WAC,Abilene Christian,WAC,108,135,-8.01,0,1,0,0,2,0,18,9,Abilene Christian,WAC,105,.7261,1,1
air-force,Air Force,Mountain West,Air Force,Mountain West,213,248,-14.73,0,0,0,2,1,9,14,7,Air Force,MWC,195,.3817,1,1
akron,Akron,MAC,Akron,MAC,292,321,-19.96,0,2,0,2,0,4,5,16,Akron,MAC,288,.1335,1,1
alabama,Alabama,SEC,Alabama,SEC,27,20,4.64,5,8,4,1,4,1,10,0,Alabama,SEC,29,.9728,1,1
alabama-a-and-m,Alabama A&M,SWAC,Alabama A&M,SWAC,209,114,-6.43,0,3,0,1,0,1,19,5,Alabama A&M,SWAC,233,.2894,1,1
alabama-state,Alabama St.,SWAC,Alabama St.,SWAC,297,164,-9.51,0,5,0,0,0,1,15,8,Alabama St.,SWAC,317,.0731,1,1
albany,Albany,America East,Albany,America East,188,216,-12.55,0,2,0,1,0,3,13,10,Albany,AE,204,.3701,1,1
alcorn-state,Alcorn St.,SWAC,Alcorn St.,SWAC,308,161,-9.38,0,3,0,1,0,1,14,8,Alcorn St.,SWAC,323,.0662,1,1
american,American,Patriot,American,Patriot,318,339,-21.36,0,1,0,0,0,2,7,20,American,Pat,325,.0585,1,1
appalachian-state,Appalachian St.,Sun Belt,Appalachian St.,Sun Belt,193,246,-14.62,0,3,0,3,0,3,9,10,Appalachian St.,SB,198,.3763,1,1
arizona,Arizona,Big 12,Arizona,Big 12,121,148,-8.77,0,5,1,8,2,2,9,3,Arizona,B12,109,.7045,1,1
arizona-state,Arizona St,Big 12,Arizona St,Big 12,51,42,0.84,1,6,6,2,5,2,12,0,Arizona St.,B12,44,.9340,1,1
arkansas,Arkansas,SEC,Arkansas,SEC,104,119,-7.05,0,11,0,4,3,3,9,2,Arkansas,SEC,102,.7388,1,1
arkansas-pine-bluff,Arkansas Pine Bluff,SWAC,Arkansas Pine Bluff,SWAC,323,237,-14.03,0,1,0,1,0,2,14,12,Arkansas Pine Bluff,SWAC,339,.0396,1,1
arkansas-state,Arkansas St.,Sun Belt,Arkansas St.,Sun Belt,92,103,-5.82,0,0,1,2,1,6,21,1,Arkansas St.,SB,101,.7437,1,1
army-west-point,Army West Point,Patriot,Army West Point,Patriot,125,100,-5.24,0,1,0,0,0,2,23,4,Army,Pat,148,.5670,1,1
auburn,Auburn,SEC,Auburn,SEC,86,73,-2.99,0,12,4,4,1,1,10,0,Auburn,SEC,86,.8009,1,1
austin-peay,Austin Peay,ASUN,Austin Peay,ASUN,156,188,-10.68,0,1,0,0,0,3,17,9,Austin Peay,ASun,163,.5120,1,1
ball-state,Ball St.,MAC,Ball St.,MAC,68,77,-3.26,0,2,0,2,3,1,22,2,Ball St.,MAC,84,.8071,1,1
baylor,Baylor,Big 12,Baylor,Big 12,32,21,4.34,3,6,6,2,4,0,11,0,Baylor,B12,35,.9647,1,1
bellarmine,Bellarmine,ASUN,Bellarmine,ASUN,362,358,-25.06,0,4,0,0,0,4,1,22,Bellarmine,ASun,363,.0038,1,1
belmont,Belmont,MVC,Belmont,MVC,106,104,-5.87,0,5,0,1,1,3,19,3,Belmont,MVC,111,.7010,1,1
bethune-cookman,Bethune Cookman,SWAC,Bethune Cookman,SWAC,345,346,-22.04,0,2,0,2,0,0,5,21,Bethune Cookman,SWAC,353,.0237,1,1
binghamton,Binghamton,America East,Binghamton,America East,177,140,-8.60,0,2,0,1,2,1,15,8,Binghamton,AE,216,.3317,1,1
boise-state,Boise St.,Mountain West,Boise St.,Mountain West,122,109,-6.04,0,0,0,3,1,3,23,3,Boise St.,MWC,113,.6827,1,1
boston-college,Boston College,ACC,Boston College,ACC,244,270,-16.06,0,7,0,7,0,6,5,6,Boston College,ACC,208,.3630,1,1
boston-university,Boston University,Patriot,Boston University,Patriot,285,299,-17.87,0,1,0,0,0,4,10,15,Boston University,Pat,297,.1151,1,1
bowling-green,Bowling Green,MAC,Bowling Green,MAC,189,186,-10.45,0,1,0,2,0,6,13,5,Bowling Green,MAC,180,.4488,1,1
bradley,Bradley,MVC,Bradley,MVC,159,155,-9.25,0,1,0,0,0,6,19,5,Bradley,MVC,158,.5262,1,1
brown,Brown,Ivy League,Brown,Ivy League,139,120,-7.29,0,1,0,4,1,3,14,3,Brown,Ivy,140,.5873,1,1
bryant,Bryant,America East,Bryant,America East,163,190,-10.74,0,0,0,0,0,2,16,10,Bryant,AE,178,.4548,1,1
bucknell,Bucknell,Patriot,Bucknell,Patriot,298,279,-16.94,0,1,0,0,0,4,10,14,Bucknell,Pat,307,.0901,1,1
buffalo,Buffalo,MAC,Buffalo,MAC,310,355,-23.75,0,1,0,2,0,5,3,19,Buffalo,MAC,314,.0758,1,1
butler,Butler,Big East,Butler,Big East,135,201,-11.55,0,4,0,4,2,5,10,6,Butler,BE,104,.7287,1,1
byu,BYU,Big 12,BYU,Big 12,56,46,0.14,0,5,8,4,1,1,13,1,BYU,B12,55,.9010,1,1
ca-baptist,CA Baptist,WAC,CA Baptist,WAC,118,125,-7.48,0,1,0,1,2,2,21,6,Cal Baptist,WAC,120,.6615,1,1
cal-poly,Cal Poly,Big West,Cal Poly,Big West,338,342,-21.69,0,3,0,2,0,3,2,18,Cal Poly,BW,322,.0690,1,1
