source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,scraped_at_iso,status,error_message,row_count
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 15, 2026",2026-03-15T00:00:00+00:00,2026-03-15T20:47:36+00:00,ok,,76
espn,ESPN,https://www.espn.com/espn/feature/story/_/id/30423107/ncaa-women-bracketology-2026-women-college-basketball-projections,"3/14/26, 4:25pm ET",2026-03-14T16:25:00+00:00,2026-03-15T20:47:36+00:00,ok,,76
ncaa,NCAA,https://www.ncaa.com/news/basketball-women/article/2026-03-10/2026-march-madness-womens-basketball-bracket-predictions-days-selection-sunday,2026-03-10,2026-03-10T00:00:00+00:00,2026-03-15T20:47:36+00:00,ok,,68
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,3/15/2026,2026-03-15T00:00:00+00:00,2026-03-15T20:47:36+00:00,ok,,68
the_ix,The IX,https://www.theixsports.com/category/the-ix-basketball-newsroom/ncaa-basketball/bracketology/,"March 15, 2026",2026-03-15T00:00:00+00:00,2026-03-15T20:47:36+00:00,ok,,76
cbssports,CBS Sports,https://www.cbssports.com/womens-college-basketball/,"Mar 15, 2026 at 11:53 am ET",2026-03-15T11:53:00+00:00,2026-03-15T20:47:36+00:00,ok,,76
usatoday,USA Today,https://www.usatoday.com/sports/ncaaw/ncaa-womens-basketball-tournament/,"March 15, 2026",2026-03-15T00:00:00+00:00,2026-03-15T20:47:36+00:00,ok,,76
the_athletic,The Athletic,https://www.nytimes.com/athletic/tag/bracketcentral/,3/13/2026,2026-03-13T00:00:00+00:00,2026-03-15T20:47:36+00:00,ok,,76
