source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,scraped_at_iso,status,error_message,row_count
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 6, 2026",2026-03-06T00:00:00+00:00,2026-03-07T01:44:49+00:00,ok,,72
espn,ESPN,https://www.espn.com/espn/feature/story/_/id/30423107/ncaa-women-bracketology-2026-women-college-basketball-projections,,,2026-03-07T01:44:49+00:00,error,[WinError 5] Access is denied,0
college_sports_madness,College Sports Madness,https://www.collegesportsmadness.com/womens-basketball/bracketology,,,2026-03-07T01:44:49+00:00,ok,,35
